"","FIPS","State","Life Expectancy","Residential.Segregation.Index","% Limited Access to Healthy Foods","% Uninsured Adults","Spending per Pupil","School.Funding.Adequacy","Median Household Income","School.Funding.Cat","Median.Prop.Tax","Region","Division"
"1",1001,"Alabama",75.263497074,29.38240388,13.020997971,12.407417878,9098,-3606.782,70148,"0",471,"South","East South Central"
"2",1003,"Alabama",76.738313887,39.543961115,7.936779358,13.376243331,11638,-537.1533,71704,"0",583,"South","East South Central"
"3",1005,"Alabama",72.377024232,19.078645391,10.433171672,16.311468613,8807,-23626.58,41151,"0",287,"South","East South Central"
"4",1007,"Alabama",72.251369089,32.0713632,0.4458662133,14.082111912,10694,-6970.646,54309,"0",275,"South","East South Central"
"5",1009,"Alabama",73.376568119,62.716405012,2.5122060181,16.097263378,9137.5,-2788.999,60553,"0",397,"South","East South Central"
"6",1011,"Alabama",72.100111622,34.584107148,32.339190387,16.35354398,11541,-38452.98,35798,"0",394,"South","East South Central"
"7",1013,"Alabama",73.1898895,23.850909782,6.9182869438,15.080652859,10067,-15080.51,41852,"0",316,"South","East South Central"
"8",1015,"Alabama",71.694077832,46.056952239,15.398072995,16.572375394,10743,-10277.2302,52772,"0",478,"South","East South Central"
"9",1017,"Alabama",72.46019745,31.21146322,8.1029884513,15.678833575,11037,-26351.235,45563,"0",342,"South","East South Central"
"10",1019,"Alabama",72.711629744,47.525912745,5.0086522515,15.808900341,10914,-1664.026,52613,"0",483,"South","East South Central"
"11",1021,"Alabama",73.487855388,41.881672436,4.3695515107,18.234917285,9645,-3359.531,61823,"0",381,"South","East South Central"
"12",1023,"Alabama",73.840201715,34.505302881,13.044275445,15.518239722,13153,-22098.77,44458,"0",0,"South","East South Central"
"13",1025,"Alabama",70.976784154,18.597355223,18.350343549,15.183894696,11285.5,-14395.92,44906,"0",310,"South","East South Central"
"14",1027,"Alabama",71.805610712,26.454336962,2.9746178357,16.073170732,10305,-6581.203,49599,"0",268,"South","East South Central"
"15",1029,"Alabama",72.033794262,45.941117867,2.0248519297,15.11884058,10170,-223.2246,49248,"0",394,"South","East South Central"
"16",1031,"Alabama",74.199405108,42.18643936,8.9918950021,15.435606061,10615.666667,-6093.076567,62429,"0",547,"South","East South Central"
"17",1033,"Alabama",73.549426021,25.88179164,8.8293033096,13.202751196,11803,-5102.991225,54593,"0",457,"South","East South Central"
"18",1035,"Alabama",69.452704307,19.128761316,13.288972735,14.153057957,12535,-20956.34,36106,"0",303,"South","East South Central"
"19",1037,"Alabama",73.065427346,52.998668309,7.7172192361,13.386880857,11911,-14096.71,49485,"0",277,"South","East South Central"
"20",1039,"Alabama",71.329176478,38.552252191,5.4804849646,16.358524731,10529.333333,-8223.349,46958,"0",291,"South","East South Central"
"21",1041,"Alabama",70.942186741,23.661893899,13.506183464,16.810976422,9984,-8255.205,49161,"0",276,"South","East South Central"
"22",1043,"Alabama",72.948149151,79.867404961,2.8437442709,15.04475338,10666,204.133,61774,"1",363,"South","East South Central"
"23",1045,"Alabama",73.312265613,31.689279153,8.7955021136,14.561035327,10539.666667,-7530.919667,50567,"0",398,"South","East South Central"
"24",1047,"Alabama",69.278314639,53.712396942,8.7671298024,13.73161588,12627.5,-30630.09,35258,"0",322,"South","East South Central"
"25",1049,"Alabama",72.614790165,75.627006553,NA,25.144791096,10530,-4147.9035,50037,"0",356,"South","East South Central"
"26",1051,"Alabama",74.601365722,30.969241064,4.9842455945,14.679983453,9567.5,-7384.6785,71463,"0",484,"South","East South Central"
"27",1053,"Alabama",70.793018347,34.358749816,5.6765487704,17.268576173,10911.5,-9384.266,47792,"0",371,"South","East South Central"
"28",1055,"Alabama",71.229589041,66.205649822,13.397919566,16.464077313,10330.333333,-9222.356667,55487,"0",476,"South","East South Central"
"29",1057,"Alabama",71.289393243,53.461751303,0.4299896114,15.129919965,10387,-3383.665,49205,"0",241,"South","East South Central"
"30",1059,"Alabama",72.368356465,67.777839871,5.7351046475,18.596283965,11326.5,-4702.0775,49611,"0",323,"South","East South Central"
"31",1061,"Alabama",71.061766946,23.033873009,3.8639910335,17.233025601,10249,-5664.6145,51585,"0",331,"South","East South Central"
"32",1063,"Alabama",71.665235305,28.896542844,22.756475345,14.396207585,13678,-46688.4,35449,"0",223,"South","East South Central"
"33",1065,"Alabama",70.214238739,25.955861854,6.9764912571,15.693566382,9944,-14408.21,44702,"0",319,"South","East South Central"
"34",1067,"Alabama",74.285708311,29.547845324,8.0481033695,14.568788501,9529,-5646.676,56702,"0",391,"South","East South Central"
"35",1069,"Alabama",74.093187709,45.592634072,4.242109128,15.851794649,10752,-8717.0535,56842,"0",454,"South","East South Central"
"36",1071,"Alabama",71.510225461,53.947985599,5.3704164542,17.060477745,11073.5,-1940.8055,51965,"0",352,"South","East South Central"
"37",1073,"Alabama",72.922522753,64.084733492,12.586638604,13.038387512,12261.333333,-16854.82033,61996,"0",1014,"South","East South Central"
"38",1075,"Alabama",73.109501462,19.532418177,0.416253749,14.698983581,10105,-3915.783,51523,"0",231,"South","East South Central"
"39",1077,"Alabama",75.365040696,51.45467778,6.4706819216,15.635209045,11330,-2980.85849,59023,"0",574,"South","East South Central"
"40",1079,"Alabama",71.565076781,69.227936494,5.3540348345,18.564039535,10917,-2966.779,55516,"0",386,"South","East South Central"
"41",1081,"Alabama",77.156826844,32.233760202,11.069019519,14.404660542,10622.333333,-5115.897,59637,"0",854,"South","East South Central"
"42",1083,"Alabama",76.438374437,40.786684298,6.4263673672,13.94323334,8813.5,-3144.2535,83159,"0",562,"South","East South Central"
"43",1085,"Alabama",68.417254989,31.504879804,20.204006563,13.511079085,16197,-38643.01,42268,"0",330,"South","East South Central"
"44",1087,"Alabama",72.048650373,57.183533168,22.099887023,14.471528062,13562,-31816.49,36601,"0",372,"South","East South Central"
"45",1089,"Alabama",76.651733256,47.669541363,9.3429073813,11.230125243,10499,-2102.7935,80426,"0",835,"South","East South Central"
"46",1091,"Alabama",70.686985687,28.844534963,13.247225464,14.030636218,11941.666667,-23708.95667,45587,"0",313,"South","East South Central"
"47",1093,"Alabama",72.449370345,43.763043683,1.0310084298,16.903775737,10296.5,-1688.6665,47742,"0",259,"South","East South Central"
"48",1095,"Alabama",72.597883193,52.835047743,10.031421286,19.258915504,10349.4,-2554.72498,53388,"0",517,"South","East South Central"
"49",1097,"Alabama",73.044812653,56.920836278,9.7158344493,17.381627718,10755,-10343.87,54315,"0",696,"South","East South Central"
"50",1099,"Alabama",71.527842283,40.272350824,11.329650773,15.611245846,11275,-13027.7,47498,"0",291,"South","East South Central"
"51",1101,"Alabama",73.718133523,55.346041032,10.744317962,15.690860959,10110,-22227.36,56862,"0",497,"South","East South Central"
"52",1103,"Alabama",73.150976298,58.833383987,8.2711687673,17.42646853,11162.666667,-1647.685567,62260,"0",511,"South","East South Central"
"53",1105,"Alabama",69.037542684,52.079902449,27.847074248,15.791929088,12801,-60228.49,33585,"0",313,"South","East South Central"
"54",1107,"Alabama",72.201316812,29.024067494,1.4966823388,14.581220848,11404,-13956.22,45440,"0",329,"South","East South Central"
"55",1109,"Alabama",72.138563949,26.923203359,10.493584998,14.502219728,11864,-14121.495,45144,"0",391,"South","East South Central"
"56",1111,"Alabama",72.971422419,35.362932398,13.183328225,15.56,10853,-8927.821,49433,"0",327,"South","East South Central"
"57",1113,"Alabama",71.542867908,42.448526896,6.6652776462,14.521706822,10542,-9305.399,45074,"0",546,"South","East South Central"
"58",1115,"Alabama",73.587276987,28.069887979,2.3738139842,13.247377302,9627.5,-2112.2495,70361,"0",464,"South","East South Central"
"59",1117,"Alabama",79.557887079,32.44273785,5.8197930737,9.8380931802,10951,695.333,98263,"1",1050,"South","East South Central"
"60",1119,"Alabama",71.33240161,18.414745099,10.744695752,14.865474222,13477,-50922.41,35152,"0",273,"South","East South Central"
"61",1121,"Alabama",71.090707701,34.119224541,7.8416455002,14.264219079,11050,-11817.07567,55186,"0",389,"South","East South Central"
"62",1123,"Alabama",72.780757424,30.437667695,3.2664900482,16.01352523,10660.5,-7566.0185,55270,"0",360,"South","East South Central"
"63",1125,"Alabama",74.855374404,55.619999366,6.7321443951,12.236582791,10671.5,-8818.2745,60875,"0",611,"South","East South Central"
