,,,Life Expectancy,,,,,,,,,,,,,,,,,,,,,,,,Premature Age-Adjusted Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Child Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Infant Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Frequent Physical Distress,,,Frequent Mental Distress,,,Diabetes Prevalence,,,HIV Prevalence,,Food Insecurity,,Limited Access to Healthy Foods,,Drug Overdose Deaths,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient Sleep,,,Uninsured Adults,,,,Uninsured Children,,,,Other Primary Care Providers,,High School Graduation,,Disconnected Youth,,,Reading Scores,,,,,,Math Scores,,,,,,School Segregation,School Funding Adequacy,,Gender Pay Gap,,,,,Median Household Income,,,,,,,,,,,,,,,,,,Children Eligible for Free or Reduced Price Lunch,Residential Segregation - Black/White,Child Care Cost Burden,Child Care Centers,,Homicides,,,,,,,,,,,,,,,,,,,,,,,,Suicides,,,,,,,,,,,,,,,,,,,,,,,,,,Firearm Fatalities,,,,,,,,,,,,,,,,,,,,,,,,,Motor Vehicle Crash Deaths,,,,,,,,,,,,,,,,,,,,,,,,,Juvenile Arrests,,,,Voter Turnout,Census Participation,Traffic Volume,Homeownership,,,,Severe Housing Cost Burden,,,,Broadband Access,,,,Population,% Below 18 Years of Age,% 65 and Older,% Non-Hispanic Black,,% American Indian or Alaska Native,,% Asian,,% Native Hawaiian or Other Pacific Islander,,% Hispanic,,% Non-Hispanic White,,% Not Proficient in English,,,,% Female,% Rural,
FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Hispanic (all races)),Life Expectancy (Hispanic (all races)) 95% CI - Low,Life Expectancy (Hispanic (all races)) 95% CI - High,Life Expectancy (Non-Hispanic AIAN),Life Expectancy (Non-Hispanic AIAN) 95% CI - Low,Life Expectancy (Non-Hispanic AIAN) 95% CI - High,Life Expectancy (Non-Hispanic Asian),Life Expectancy (Non-Hispanic Asian) 95% CI - Low,Life Expectancy (Non-Hispanic Asian) 95% CI - High,Life Expectancy (Non-Hispanic Black),Life Expectancy (Non-Hispanic Black) 95% CI - Low,Life Expectancy (Non-Hispanic Black) 95% CI - High,Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander),Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Life Expectancy (Non-Hispanic 2+ races),Life Expectancy (Non-Hispanic 2+ races) 95% CI - Low,Life Expectancy (Non-Hispanic 2+ races) 95% CI - High,Life Expectancy (Non-Hispanic White),Life Expectancy (Non-Hispanic White) 95% CI - Low,Life Expectancy (Non-Hispanic White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Hispanic (all races)),Age-Adjusted Mortality (Hispanic (all races)) 95% CI - Low,Age-Adjusted Mortality (Hispanic (all races)) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic AIAN),Age-Adjusted Mortality (Non-Hispanic AIAN) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic AIAN) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Asian),Age-Adjusted Mortality (Non-Hispanic Asian) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Asian) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Black),Age-Adjusted Mortality (Non-Hispanic Black) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Black) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander),Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic 2+ races),Age-Adjusted Mortality (Non-Hispanic 2+ races) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic 2+ races) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic White),Age-Adjusted Mortality (Non-Hispanic White) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic White) 95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Hispanic (all races)),Child Mortality Rate (Hispanic (all races)) 95% CI - Low,Child Mortality Rate (Hispanic (all races)) 95% CI - High,Child Mortality Rate (Non-Hispanic AIAN),Child Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Child Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Child Mortality Rate (Non-Hispanic Asian),Child Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Child Mortality Rate (Non-Hispanic Asian) 95% CI - High,Child Mortality Rate (Non-Hispanic Black),Child Mortality Rate (Non-Hispanic Black) 95% CI - Low,Child Mortality Rate (Non-Hispanic Black) 95% CI - High,Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Child Mortality Rate (Non-Hispanic 2+ races),Child Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Child Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Child Mortality Rate (Non-Hispanic White),Child Mortality Rate (Non-Hispanic White) 95% CI - Low,Child Mortality Rate (Non-Hispanic White) 95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Hispanic (all races)),Infant Mortality Rate (Hispanic (all races)) 95% CI - Low,Infant Mortality Rate (Hispanic (all races)) 95% CI - High,Infant Mortality Rate (Non-Hispanic AIAN),Infant Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Infant Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Infant Mortality Rate (Non-Hispanic Asian),Infant Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Asian) 95% CI - High,Infant Mortality Rate (Non-Hispanic Black),Infant Mortality Rate (Non-Hispanic Black) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Black) 95% CI - High,Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Infant Mortality Rate (Non-Hispanic 2+ races),Infant Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Infant Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Infant Mortality Rate (Non-Hispanic White),Infant Mortality Rate (Non-Hispanic White) 95% CI - Low,Infant Mortality Rate (Non-Hispanic White) 95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Adults with Diabetes,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access to Healthy Foods,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low,95% CI - High,Drug Overdose Mortality Rate (Hispanic (all races)),Drug Overdose Mortality Rate (Hispanic (all races)) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic (all races)) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic AIAN),Drug Overdose Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Asian),Drug Overdose Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Asian) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Black),Drug Overdose Mortality Rate (Non-Hispanic Black) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Black) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic 2+ races),Drug Overdose Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic White),Drug Overdose Mortality Rate (Non-Hispanic White) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic White) 95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured Adults,% Uninsured Adults,95% CI - Low,95% CI - High,# Uninsured Children,% Uninsured Children,95% CI - Low,95% CI - High,Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low,95% CI - High,Average Grade Performance,Average Grade Performance (AIAN),Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (White),Average Grade Performance,Average Grade Performance (AIAN),Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (White),Segregation Index,Spending per Pupil,School Funding Adequacy,Women's Median Earnings,Men's Median Earnings,Gender Pay Gap,95% CI - Low,95% CI - High,Median Household Income,95% CI - Low,95% CI - High,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation Index,% Household Income Required for Child Care Expenses,# Child Care Centers,"Child Care Centers per 1,000 Children",Homicide Rate,95% CI - Low,95% CI - High,Homicide Rate (Hispanic (all races)),Homicide Rate (Hispanic (all races)) 95% CI - Low,Homicide Rate (Hispanic (all races)) 95% CI - High,Homicide Rate (Non-Hispanic AIAN),Homicide Rate (Non-Hispanic AIAN) 95% CI - Low,Homicide Rate (Non-Hispanic AIAN) 95% CI - High,Homicide Rate (Non-Hispanic Asian),Homicide Rate (Non-Hispanic Asian) 95% CI - Low,Homicide Rate (Non-Hispanic Asian) 95% CI - High,Homicide Rate (Non-Hispanic Black),Homicide Rate (Non-Hispanic Black) 95% CI - Low,Homicide Rate (Non-Hispanic Black) 95% CI - High,Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Homicide Rate (Non-Hispanic 2+ races),Homicide Rate (Non-Hispanic 2+ races) 95% CI - Low,Homicide Rate (Non-Hispanic 2+ races) 95% CI - High,Homicide Rate (Non-Hispanic White),Homicide Rate (Non-Hispanic White) 95% CI - Low,Homicide Rate (Non-Hispanic White) 95% CI - High,# Deaths,Suicide Rate (Age-Adjusted),95% CI - Low,95% CI - High,Crude Rate,Suicide Rate (Hispanic (all races)),Suicide Rate (Hispanic (all races)) 95% CI - Low,Suicide Rate (Hispanic (all races)) 95% CI - High,Suicide Rate (Non-Hispanic AIAN),Suicide Rate (Non-Hispanic AIAN) 95% CI - Low,Suicide Rate (Non-Hispanic AIAN) 95% CI - High,Suicide Rate (Non-Hispanic Asian),Suicide Rate (Non-Hispanic Asian) 95% CI - Low,Suicide Rate (Non-Hispanic Asian) 95% CI - High,Suicide Rate (Non-Hispanic Black),Suicide Rate (Non-Hispanic Black) 95% CI - Low,Suicide Rate (Non-Hispanic Black) 95% CI - High,Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Suicide Rate (Non-Hispanic 2+ races),Suicide Rate (Non-Hispanic 2+ races) 95% CI - Low,Suicide Rate (Non-Hispanic 2+ races) 95% CI - High,Suicide Rate (Non-Hispanic White),Suicide Rate (Non-Hispanic White) 95% CI - Low,Suicide Rate (Non-Hispanic White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Firearm Fatalities Rate (Hispanic (all races)),Firearm Fatalities Rate (Hispanic (all races)) 95% CI - Low,Firearm Fatalities Rate (Hispanic (all races)) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic AIAN),Firearm Fatalities Rate (Non-Hispanic AIAN) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic AIAN) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Asian),Firearm Fatalities Rate (Non-Hispanic Asian) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Asian) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Black),Firearm Fatalities Rate (Non-Hispanic Black) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Black) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic 2+ races),Firearm Fatalities Rate (Non-Hispanic 2+ races) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic 2+ races) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic White),Firearm Fatalities Rate (Non-Hispanic White) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low,95% CI - High,MV Mortality Rate (Hispanic (all races)),MV Mortality Rate (Hispanic (all races)) 95% CI - Low,MV Mortality Rate (Hispanic (all races)) 95% CI - High,MV Mortality Rate (Non-Hispanic AIAN),MV Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,MV Mortality Rate (Non-Hispanic AIAN) 95% CI - High,MV Mortality Rate (Non-Hispanic Asian),MV Mortality Rate (Non-Hispanic Asian) 95% CI - Low,MV Mortality Rate (Non-Hispanic Asian) 95% CI - High,MV Mortality Rate (Non-Hispanic Black),MV Mortality Rate (Non-Hispanic Black) 95% CI - Low,MV Mortality Rate (Non-Hispanic Black) 95% CI - High,MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,MV Mortality Rate (Non-Hispanic 2+ races),MV Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,MV Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,MV Mortality Rate (Non-Hispanic White),MV Mortality Rate (Non-Hispanic White) 95% CI - Low,MV Mortality Rate (Non-Hispanic White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,% Voter Turnout,% Census Participation,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Households with Severe Cost Burden,95% CI - Low,95% CI - High,% Households with Broadband Access,# Households with Broadband Access,95% CI - Low,95% CI - High,Population,% Less than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian or Alaska Native,% American Indian or Alaska Native,# Asian,% Asian,# Native Hawaiian or Other Pacific Islander,% Native Hawaiian or Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural Residents,% Rural
01000,Alabama,,73.7,73.6,73.8,,,,,,,,,,,,,,,,,,,,,,98140,549,545,552,,,,,,,,,,,,,,,,,,,,,,3575,73,71,75,,,,,,,,,,,,,,,,,,,,,,3168,8,7,8,,,,,,,,,,,,,,,,,,,,,,12,11,14,20,18,21,13,12,15,14436,340,746550,15,418731,9,3205,22,21,22,,,,,,,,,,,,,,,,,,,,,,39,37,41,427677,15,14,15,47300,4,4,5,116,865:1,51440,91,8,7,9,2.9,,,,,,2.7,,,,,,0.27,10693,-7912,42408,56937,0.74,0.73,0.75,59703,58849,60557,,,,,,,,,,,,,,,,49,57,27,,6,12,12,12,,,,,,,,,,,,,,,,,,,,,,4082,16,16,17,17,,,,,,,,,,,,,,,,,,,,,,5720,23,23,24,,,,,,,,,,,,,,,,,,,,,,7072,21,20,21,,,,,,,,,,,,,,,,,,,,,,1171,4911,496000,12,62.6,,67,1347792,70,69,70,225974,12,12,13,84,1619717,83,84,5074296,21.9,18.0,1341182,26.4,36325,0.7,80615,1.6,5556,0.1,250253,4.9,3283664,64.7,49612,1,1,1,51.4,2123399,42.3
01001,Alabama,Autauga,75.3,74.5,76.0,,,,,,,,,,71.9,70.1,73.7,,,,,,,75.6,74.8,76.4,942,472,441,503,,,,,,,,,,606,525,687,,,,,,,456,421,490,34,59,41,82,,,,,,,,,,94,49,164,,,,,,,56,35,84,32,7,5,10,,,,,,,,,,,,,,,,,,,,,,12,10,14,18,16,21,11,9,13,108,218,7770,13,7106,13,16,9,5,15,,,,,,,,,,,,,,,,,,,,,,38,36,39,4389,12,11,14,580,4,3,5,50,1992:1,620,87,7,2,12,3.1,,,2.6,,3.3,2.9,,,2.4,2.9,3.1,0.05,9098,-3607,44270,59330,0.75,0.62,0.87,70148,61519,78777,,,,,,,50763,42915,58611,80917,47537,114297,75863,70773,80953,28,29,20,19,6,7,4,10,,,,,,,,,,,,,,,,,,,,,,51,17,13,23,18,,,,,,,,,,,,,,,,,,,,,,49,17,13,23,,,,,,,,,,23,12,40,,,,,,,17,12,24,71,18,14,23,,,,,,,,,,23,14,37,,,,,,,18,13,23,6,24,6200,5,66.2,68.8,46,16832,75,72,79,2406,11,9,14,89,19869,87,91,59759,23.2,16.4,12556,21.0,282,0.5,704,1.2,73,0.1,2021,3.4,43057,72.1,203,0,0,1,51.3,23920,40.7
01003,Alabama,Baldwin,76.7,76.4,77.1,89.8,82.7,96.9,,,,85.7,79.8,91.7,71.1,69.7,72.4,,,,,,,76.9,76.5,77.3,3789,416,402,431,193,145,253,,,,,,,688,621,754,,,,,,,409,394,425,115,54,44,64,,,,,,,,,,100,62,151,,,,,,,51,41,64,87,5,4,7,,,,,,,,,,,,,,,,,,,,,,11,9,13,17,15,20,10,8,11,356,174,26830,12,14466,8,178,26,22,30,,,,,,,,,,24,13,40,,,,,,,28,23,32,35,33,37,18101,13,12,15,2615,5,4,6,84,1196:1,2363,89,8,5,12,3.2,,,2.6,2.7,3.4,3.0,,,2.3,2.7,3.2,0.09,11638,-537,43785,60598,0.72,0.67,0.77,71704,65122,78286,58350,36547,80153,96071,43750,148392,38223,30352,46094,56507,41841,71173,76739,73434,80044,37,40,20,75,6,3,3,4,,,,,,,,,,13,7,20,,,,,,,3,2,4,213,19,16,21,19,,,,,,,,,,,,,,,,,,,,,,161,14,12,17,,,,,,,,,,19,11,29,,,,,,,15,13,17,243,16,14,18,14,7,26,,,,,,,19,12,27,,,,,,,16,14,19,122,343,22900,20,65.3,56.4,39,70708,78,77,79,10795,12,11,14,89,80742,88,90,246435,20.8,21.9,20269,8.2,1998,0.8,2849,1.2,164,0.1,12411,5.0,204488,83.0,1741,1,1,1,51.2,87113,37.6
01005,Alabama,Barbour,72.4,71.2,73.5,,,,,,,,,,69.8,68.1,71.5,,,,,,,74.6,73.0,76.2,579,628,574,682,,,,,,,,,,751,663,840,,,,,,,540,469,611,18,80,47,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,18,21,18,23,16,14,18,110,514,4500,18,2865,10,,,,,,,,,,,,,,,,,,,,,,,,,,44,43,45,1967,16,14,19,201,4,3,5,81,1235:1,449,85,,,,2.4,,,2.1,2.1,2.8,2.0,,,1.8,1.9,2.4,0.04,8807,-23627,34611,44519,0.78,0.64,0.91,41151,35723,46579,,,,60063,29771,90355,25703,23456,27950,35265,10390,60140,61822,53538,70106,57,19,25,7,5,13,8,20,,,,,,,,,,,,,,,,,,,,,,18,13,8,22,14,,,,,,,,,,,,,,,,,,,,,,33,27,18,37,,,,,,,,,,25,14,42,,,,,,,30,17,48,52,29,22,39,,,,,,,,,,36,24,51,,,,,,,22,13,35,1-4,16,2400,,54.0,54.5,34,5858,65,61,69,895,11,8,13,68,6151,64,72,24706,20.4,20.6,11660,47.2,179,0.7,116,0.5,69,0.3,1260,5.1,11185,45.3,467,2,1,3,47.1,16627,65.9
01007,Alabama,Bibb,72.3,71.0,73.5,,,,,,,,,,70.4,67.4,73.3,,,,,,,72.4,71.0,73.8,501,618,563,674,,,,,,,,,,729,588,871,,,,,,,615,551,679,20,101,62,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,16,19,17,22,12,11,14,52,269,3350,15,102,0,15,22,13,37,,,,,,,,,,,,,,,,,,,,,,40,39,41,1739,14,12,16,182,4,3,5,141,710:1,216,88,,,,2.7,,,2.2,,2.8,2.6,,,2.2,,2.7,0.09,10694,-6971,37603,46492,0.81,0.55,1.06,54309,46470,62148,,,,,,,21563,2386,40740,,,,58896,51058,66734,49,32,24,6,5,10,5,16,,,,,,,,,,,,,,,,,,,,,,18,17,10,27,16,,,,,,,,,,,,,,,,,,,,,,23,21,13,31,,,,,,,,,,,,,,,,,,,,,,39,25,18,34,,,,,,,,,,30,14,55,,,,,,,24,16,35,1-4,62,2000,,54.6,56.0,8,5465,76,71,80,700,10,7,14,80,5752,74,85,22005,19.7,17.8,4563,20.7,126,0.6,64,0.3,29,0.1,699,3.2,16283,74.0,61,0,0,1,46.5,22293,100.0
01009,Alabama,Blount,73.4,72.6,74.1,91.6,80.0,103.3,,,,,,,,,,,,,,,,72.7,71.9,73.5,1239,573,540,607,212,134,318,,,,,,,859,550,1277,,,,,,,602,565,638,36,62,43,85,,,,,,,,,,,,,,,,,,,,,,34,7,5,10,,,,,,,,,,,,,,,,,,,,,,13,11,15,19,16,22,11,9,12,40,81,8040,14,1440,3,37,21,15,29,,,,,,,,,,,,,,,,,,,,,,37,36,39,5541,16,14,18,674,5,3,6,35,2834:1,591,98,10,4,15,2.9,,,,2.6,3.0,2.8,,,,2.5,2.8,0.10,9138,-2789,42748,48778,0.88,0.78,0.97,60553,52695,68411,,,,143472,113846,173098,40125,893,79357,62054,39815,84293,57282,53366,61198,43,63,35,17,5,6,4,9,,,,,,,,,,,,,,,,,,,,,,64,22,17,29,22,,,,,,,,,,,,,,,,,,,,,,53,18,14,24,,,,,,,,,,,,,,,,,,,,,,124,31,25,36,,,,,,,,,,,,,,,,,,,,,,10,32,6200,7,64.2,66.7,14,17144,79,77,82,1896,9,7,11,83,17890,80,85,59512,22.7,19.1,1028,1.7,377,0.6,259,0.4,78,0.1,5993,10.1,51176,86.0,1222,2,2,3,50.3,53510,90.5
01011,Alabama,Bullock,72.1,70.2,74.0,,,,,,,,,,69.6,67.3,71.8,,,,,,,78.1,74.6,81.6,229,630,545,715,,,,,,,,,,762,648,876,,,,,,,374,251,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,14,19,21,18,23,19,16,21,54,616,1620,16,3529,32,,,,,,,,,,,,,,,,,,,,,,,,,,46,45,47,766,16,13,19,64,3,2,4,59,1700:1,90,83,,,,2.1,,,,,,2.0,,,,,,0.01,11541,-38453,27667,41202,0.67,0.54,0.80,35798,30564,41032,,,,,,,26383,20534,32232,65179,50089,80269,76146,42374,109918,76,35,39,3,5,19,11,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,28,15,46,,,,,,,,,,,,,,,,,,,,,,40,56,40,76,,,,,,,,,,,,,,,,,,,,,,0,6,900,7,59.1,48.8,16,2231,65,60,70,490,16,9,23,61,2105,52,70,10202,21.1,17.8,6870,67.3,95,0.9,32,0.3,77,0.8,954,9.4,2219,21.8,172,2,0,3,44.6,10357,100.0
01013,Alabama,Butler,73.2,71.8,74.5,,,,,,,,,,71.8,69.7,73.9,,,,,,,73.6,71.7,75.5,449,617,556,678,,,,,,,,,,737,636,838,,,,,,,562,481,643,14,74,41,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,16,20,17,23,14,12,16,60,377,2640,14,1449,7,10,17,8,32,,,,,,,,,,,,,,,,,,,,,,41,40,42,1580,15,13,17,167,4,3,5,97,1036:1,205,80,,,,2.5,,,2.3,,3.0,2.1,,,1.9,,2.6,0.12,10067,-15081,34774,44714,0.78,0.61,0.95,41852,36176,47528,53454,46633,60275,,,,33716,28656,38776,20000,3515,36485,53713,45394,62032,71,24,34,5,5,17,11,26,,,,,,,,,,,,,,,,,,,,,,11,12,6,22,11,,,,,,,,,,,,,,,,,,,,,,24,25,16,37,,,,,,,,,,28,14,48,,,,,,,20,10,37,53,39,29,50,,,,,,,,,,36,23,55,,,,,,,44,30,62,0,32,2000,16,62.9,55.8,22,5047,71,68,73,774,12,9,15,79,5599,75,82,18650,22.4,21.5,8241,44.2,88,0.5,280,1.5,10,0.1,341,1.8,9468,50.8,12,0,0,1,53.0,13228,69.4
01015,Alabama,Calhoun,71.7,71.2,72.2,96.4,73.7,119.2,,,,,,,71.2,70.0,72.4,,,,,,,71.4,70.8,72.0,2735,645,620,671,307,202,447,,,,,,,698,638,759,,,,,,,656,626,686,73,66,51,82,,,,,,,,,,80,50,122,,,,,,,60,43,81,66,7,5,9,,,,,,,,,,12,8,18,,,,,,,5,4,7,14,12,16,19,17,22,12,10,14,251,255,18210,16,18258,15,80,23,18,29,,,,,,,,,,19,11,32,,,,,,,26,20,33,38,37,40,11102,17,14,19,1109,4,3,6,90,1113:1,1218,92,8,4,12,2.9,,,2.5,2.6,3.2,2.8,,,2.4,2.6,3.0,0.19,10743,-10277,39994,52719,0.76,0.68,0.83,52772,47618,57926,,,,43860,27745,59975,38769,32696,44842,45458,15802,75114,59390,57099,61681,51,46,23,37,6,10,8,13,,,,,,,,,,23,16,32,,,,,,,7,5,10,128,22,18,26,22,,,,,,,,,,11,6,19,,,,,,,25,20,30,152,27,22,31,,,,,,,,,,28,20,39,,,,,,,27,22,32,174,22,18,25,,,,,,,,,,17,11,24,,,,,,,24,20,28,117,232,11300,31,57.9,63.6,56,31694,71,69,73,4844,11,10,13,83,37248,82,85,115788,21.1,18.6,25504,22.0,619,0.5,1022,0.9,131,0.1,5031,4.3,81284,70.2,553,1,0,1,51.4,42494,36.5
