,,,Life Expectancy,,,,,,,,,,,,,,,,,,,,,,,,Premature Age-Adjusted Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Child Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Infant Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Frequent Physical Distress,,,Frequent Mental Distress,,,Diabetes Prevalence,,,HIV Prevalence,,Food Insecurity,,Limited Access to Healthy Foods,,Drug Overdose Deaths,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient Sleep,,,Uninsured Adults,,,,Uninsured Children,,,,Other Primary Care Providers,,High School Graduation,,Disconnected Youth,,,Reading Scores,,,,,,Math Scores,,,,,,School Segregation,School Funding Adequacy,,Gender Pay Gap,,,,,Median Household Income,,,,,,,,,,,,,,,,,,Children Eligible for Free or Reduced Price Lunch,Residential Segregation - Black/White,Child Care Cost Burden,Child Care Centers,,Homicides,,,,,,,,,,,,,,,,,,,,,,,,Suicides,,,,,,,,,,,,,,,,,,,,,,,,,,Firearm Fatalities,,,,,,,,,,,,,,,,,,,,,,,,,Motor Vehicle Crash Deaths,,,,,,,,,,,,,,,,,,,,,,,,,Juvenile Arrests,,,,Voter Turnout,Census Participation,Traffic Volume,Homeownership,,,,Severe Housing Cost Burden,,,,Broadband Access,,,,Population,% Below 18 Years of Age,% 65 and Older,% Non-Hispanic Black,,% American Indian or Alaska Native,,% Asian,,% Native Hawaiian or Other Pacific Islander,,% Hispanic,,% Non-Hispanic White,,% Not Proficient in English,,,,% Female,% Rural,
FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Hispanic (all races)),Life Expectancy (Hispanic (all races)) 95% CI - Low,Life Expectancy (Hispanic (all races)) 95% CI - High,Life Expectancy (Non-Hispanic AIAN),Life Expectancy (Non-Hispanic AIAN) 95% CI - Low,Life Expectancy (Non-Hispanic AIAN) 95% CI - High,Life Expectancy (Non-Hispanic Asian),Life Expectancy (Non-Hispanic Asian) 95% CI - Low,Life Expectancy (Non-Hispanic Asian) 95% CI - High,Life Expectancy (Non-Hispanic Black),Life Expectancy (Non-Hispanic Black) 95% CI - Low,Life Expectancy (Non-Hispanic Black) 95% CI - High,Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander),Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Life Expectancy (Non-Hispanic 2+ races),Life Expectancy (Non-Hispanic 2+ races) 95% CI - Low,Life Expectancy (Non-Hispanic 2+ races) 95% CI - High,Life Expectancy (Non-Hispanic White),Life Expectancy (Non-Hispanic White) 95% CI - Low,Life Expectancy (Non-Hispanic White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Hispanic (all races)),Age-Adjusted Mortality (Hispanic (all races)) 95% CI - Low,Age-Adjusted Mortality (Hispanic (all races)) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic AIAN),Age-Adjusted Mortality (Non-Hispanic AIAN) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic AIAN) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Asian),Age-Adjusted Mortality (Non-Hispanic Asian) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Asian) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Black),Age-Adjusted Mortality (Non-Hispanic Black) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Black) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander),Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic 2+ races),Age-Adjusted Mortality (Non-Hispanic 2+ races) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic 2+ races) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic White),Age-Adjusted Mortality (Non-Hispanic White) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic White) 95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Hispanic (all races)),Child Mortality Rate (Hispanic (all races)) 95% CI - Low,Child Mortality Rate (Hispanic (all races)) 95% CI - High,Child Mortality Rate (Non-Hispanic AIAN),Child Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Child Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Child Mortality Rate (Non-Hispanic Asian),Child Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Child Mortality Rate (Non-Hispanic Asian) 95% CI - High,Child Mortality Rate (Non-Hispanic Black),Child Mortality Rate (Non-Hispanic Black) 95% CI - Low,Child Mortality Rate (Non-Hispanic Black) 95% CI - High,Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Child Mortality Rate (Non-Hispanic 2+ races),Child Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Child Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Child Mortality Rate (Non-Hispanic White),Child Mortality Rate (Non-Hispanic White) 95% CI - Low,Child Mortality Rate (Non-Hispanic White) 95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Hispanic (all races)),Infant Mortality Rate (Hispanic (all races)) 95% CI - Low,Infant Mortality Rate (Hispanic (all races)) 95% CI - High,Infant Mortality Rate (Non-Hispanic AIAN),Infant Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Infant Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Infant Mortality Rate (Non-Hispanic Asian),Infant Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Asian) 95% CI - High,Infant Mortality Rate (Non-Hispanic Black),Infant Mortality Rate (Non-Hispanic Black) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Black) 95% CI - High,Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Infant Mortality Rate (Non-Hispanic 2+ races),Infant Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Infant Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Infant Mortality Rate (Non-Hispanic White),Infant Mortality Rate (Non-Hispanic White) 95% CI - Low,Infant Mortality Rate (Non-Hispanic White) 95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Adults with Diabetes,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access to Healthy Foods,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low,95% CI - High,Drug Overdose Mortality Rate (Hispanic (all races)),Drug Overdose Mortality Rate (Hispanic (all races)) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic (all races)) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic AIAN),Drug Overdose Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Asian),Drug Overdose Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Asian) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Black),Drug Overdose Mortality Rate (Non-Hispanic Black) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Black) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic 2+ races),Drug Overdose Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic White),Drug Overdose Mortality Rate (Non-Hispanic White) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic White) 95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured Adults,% Uninsured Adults,95% CI - Low,95% CI - High,# Uninsured Children,% Uninsured Children,95% CI - Low,95% CI - High,Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low,95% CI - High,Average Grade Performance,Average Grade Performance (AIAN),Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (White),Average Grade Performance,Average Grade Performance (AIAN),Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (White),Segregation Index,Spending per Pupil,School Funding Adequacy,Women's Median Earnings,Men's Median Earnings,Gender Pay Gap,95% CI - Low,95% CI - High,Median Household Income,95% CI - Low,95% CI - High,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation Index,% Household Income Required for Child Care Expenses,# Child Care Centers,"Child Care Centers per 1,000 Children",Homicide Rate,95% CI - Low,95% CI - High,Homicide Rate (Hispanic (all races)),Homicide Rate (Hispanic (all races)) 95% CI - Low,Homicide Rate (Hispanic (all races)) 95% CI - High,Homicide Rate (Non-Hispanic AIAN),Homicide Rate (Non-Hispanic AIAN) 95% CI - Low,Homicide Rate (Non-Hispanic AIAN) 95% CI - High,Homicide Rate (Non-Hispanic Asian),Homicide Rate (Non-Hispanic Asian) 95% CI - Low,Homicide Rate (Non-Hispanic Asian) 95% CI - High,Homicide Rate (Non-Hispanic Black),Homicide Rate (Non-Hispanic Black) 95% CI - Low,Homicide Rate (Non-Hispanic Black) 95% CI - High,Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Homicide Rate (Non-Hispanic 2+ races),Homicide Rate (Non-Hispanic 2+ races) 95% CI - Low,Homicide Rate (Non-Hispanic 2+ races) 95% CI - High,Homicide Rate (Non-Hispanic White),Homicide Rate (Non-Hispanic White) 95% CI - Low,Homicide Rate (Non-Hispanic White) 95% CI - High,# Deaths,Suicide Rate (Age-Adjusted),95% CI - Low,95% CI - High,Crude Rate,Suicide Rate (Hispanic (all races)),Suicide Rate (Hispanic (all races)) 95% CI - Low,Suicide Rate (Hispanic (all races)) 95% CI - High,Suicide Rate (Non-Hispanic AIAN),Suicide Rate (Non-Hispanic AIAN) 95% CI - Low,Suicide Rate (Non-Hispanic AIAN) 95% CI - High,Suicide Rate (Non-Hispanic Asian),Suicide Rate (Non-Hispanic Asian) 95% CI - Low,Suicide Rate (Non-Hispanic Asian) 95% CI - High,Suicide Rate (Non-Hispanic Black),Suicide Rate (Non-Hispanic Black) 95% CI - Low,Suicide Rate (Non-Hispanic Black) 95% CI - High,Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Suicide Rate (Non-Hispanic 2+ races),Suicide Rate (Non-Hispanic 2+ races) 95% CI - Low,Suicide Rate (Non-Hispanic 2+ races) 95% CI - High,Suicide Rate (Non-Hispanic White),Suicide Rate (Non-Hispanic White) 95% CI - Low,Suicide Rate (Non-Hispanic White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Firearm Fatalities Rate (Hispanic (all races)),Firearm Fatalities Rate (Hispanic (all races)) 95% CI - Low,Firearm Fatalities Rate (Hispanic (all races)) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic AIAN),Firearm Fatalities Rate (Non-Hispanic AIAN) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic AIAN) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Asian),Firearm Fatalities Rate (Non-Hispanic Asian) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Asian) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Black),Firearm Fatalities Rate (Non-Hispanic Black) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Black) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic 2+ races),Firearm Fatalities Rate (Non-Hispanic 2+ races) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic 2+ races) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic White),Firearm Fatalities Rate (Non-Hispanic White) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low,95% CI - High,MV Mortality Rate (Hispanic (all races)),MV Mortality Rate (Hispanic (all races)) 95% CI - Low,MV Mortality Rate (Hispanic (all races)) 95% CI - High,MV Mortality Rate (Non-Hispanic AIAN),MV Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,MV Mortality Rate (Non-Hispanic AIAN) 95% CI - High,MV Mortality Rate (Non-Hispanic Asian),MV Mortality Rate (Non-Hispanic Asian) 95% CI - Low,MV Mortality Rate (Non-Hispanic Asian) 95% CI - High,MV Mortality Rate (Non-Hispanic Black),MV Mortality Rate (Non-Hispanic Black) 95% CI - Low,MV Mortality Rate (Non-Hispanic Black) 95% CI - High,MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,MV Mortality Rate (Non-Hispanic 2+ races),MV Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,MV Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,MV Mortality Rate (Non-Hispanic White),MV Mortality Rate (Non-Hispanic White) 95% CI - Low,MV Mortality Rate (Non-Hispanic White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,% Voter Turnout,% Census Participation,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Households with Severe Cost Burden,95% CI - Low,95% CI - High,% Households with Broadband Access,# Households with Broadband Access,95% CI - Low,95% CI - High,Population,% Less than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian or Alaska Native,% American Indian or Alaska Native,# Asian,% Asian,# Native Hawaiian or Other Pacific Islander,% Native Hawaiian or Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural Residents,% Rural
08000,Colorado,,79.0,78.9,79.1,,,,,,,,,,,,,,,,,,,,,,64432,327,324,329,,,,,,,,,,,,,,,,,,,,,,2784,50,48,51,,,,,,,,,,,,,,,,,,,,,,2132,5,5,5,,,,,,,,,,,,,,,,,,,,,,9,9,10,15,14,15,7,6,7,13442,272,533650,9,253692,5,4458,26,25,26,,,,,,,,,,,,,,,,,,,,,,27,26,28,396402,11,10,11,61429,5,4,5,144,695:1,68336,82,7,6,7,3.1,,,,,,3.0,,,,,,0.19,12135,-161,56492,69114,0.82,0.81,0.83,89096,87628,90564,,,,,,,,,,,,,,,,38,65,31,,12,5,5,5,,,,,,,,,,,,,,,,,,,,,,6453,22,21,22,22,,,,,,,,,,,,,,,,,,,,,,4500,16,15,16,,,,,,,,,,,,,,,,,,,,,,4484,11,11,12,,,,,,,,,,,,,,,,,,,,,,,4885,580600,8,79.0,,165,1507547,66,66,67,323013,14,14,15,92,2091383,92,92,5839926,20.8,15.7,241142,4.1,97828,1.7,219273,3.8,13003,0.2,1314965,22.5,3881878,66.5,137687,3,2,3,49.2,806778,14.0
08001,Colorado,Adams,77.5,77.3,77.8,78.6,78.0,79.2,78.0,72.2,83.8,83.8,82.2,85.3,72.4,70.7,74.0,,,,,,,77.4,77.1,77.8,5791,373,363,383,375,357,393,504,370,670,197,162,232,631,558,704,,,,,,,368,355,381,289,49,44,55,47,40,55,,,,61,32,104,106,66,162,,,,,,,47,39,58,246,5,5,6,6,5,7,,,,,,,,,,,,,,,,4,3,5,11,10,13,15,13,17,9,7,10,1249,290,46440,9,20911,5,439,28,26,31,26,22,30,,,,,,,62,43,88,,,,,,,30,26,33,30,29,31,53502,16,15,18,7951,6,5,7,237,421:1,6391,79,9,7,11,2.8,,3.3,2.4,2.6,3.2,2.7,,3.4,2.2,2.4,3.1,0.13,11880,-2938,51174,60470,0.85,0.82,0.88,89849,85526,94172,86069,72670,99468,97713,86619,108807,60034,52436,67632,75887,72737,79037,94634,92022,97246,50,55,36,236,7,6,5,7,8,6,9,,,,,,,27,19,39,,,,,,,4,3,4,539,21,19,23,21,15,13,18,,,,11,6,19,13,6,23,,,,,,,26,23,29,371,14,13,16,11,9,13,,,,,,,18,10,30,,,,,,,17,15,20,407,11,10,13,13,11,15,,,,,,,13,7,22,,,,,,,11,9,12,,304,61800,5,71.6,69.5,181,123826,68,67,69,26427,15,14,16,91,165088,90,92,527575,24.5,11.3,18473,3.5,12836,2.4,24779,4.7,1432,0.3,223672,42.4,246881,46.8,26720,5,5,6,49.1,20996,4.0
08003,Colorado,Alamosa,73.0,71.4,74.5,71.0,68.6,73.4,,,,,,,,,,,,,,,,74.5,72.4,76.6,265,549,480,618,658,544,773,,,,,,,,,,,,,,,,469,380,558,17,87,51,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,15,17,15,19,11,9,13,27,197,1970,12,1942,13,24,49,31,73,,,,,,,,,,,,,,,,,,,,,,30,29,32,1519,16,14,19,271,7,5,9,205,488:1,147,73,,,,3.0,,,,2.9,3.1,2.9,,,,2.9,3.0,0.08,13751,-2235,42987,46442,0.93,0.60,1.25,53942,46937,60947,,,,,,,93342,48428,138256,50092,43125,57059,59322,51425,67219,56,,30,7,7,11,6,19,,,,,,,,,,,,,,,,,,,,,,23,30,19,46,28,,,,,,,,,,,,,,,,,,,,,,15,18,10,30,,,,,,,,,,,,,,,,,,,,,,20,17,11,27,,,,,,,,,,,,,,,,,,,,,,,11,1800,6,67.9,54.3,66,3702,57,53,61,621,10,6,13,89,5757,86,92,16592,24.2,14.8,205,1.2,954,5.7,270,1.6,50,0.3,8129,49.0,7531,45.4,364,2,1,4,50.4,5411,33.0
08005,Colorado,Arapahoe,79.7,79.4,79.9,79.5,78.7,80.3,76.1,69.8,82.3,85.6,84.3,86.9,75.8,74.9,76.6,74.0,68.7,79.3,,,,80.2,79.9,80.5,6559,302,295,309,311,290,332,604,450,795,186,162,210,441,412,469,453,268,716,,,,284,275,293,326,49,44,55,57,46,68,,,,40,23,64,94,73,118,,,,,,,33,26,39,275,5,5,6,6,5,8,,,,,,,11,8,13,,,,,,,3,2,4,9,8,11,14,12,16,7,6,9,1635,297,54070,8,12030,2,415,21,19,23,23,18,28,,,,10,5,17,22,16,29,,,,,,,22,19,25,29,28,30,47694,12,11,12,8151,5,4,6,157,639:1,8991,84,7,5,8,3.1,,3.5,2.7,2.6,3.5,3.0,,3.6,2.5,2.5,3.5,0.14,13784,-2167,57825,69450,0.83,0.81,0.85,93525,90291,96759,70700,65973,75427,101379,92135,110623,66248,60972,71524,79137,74487,83787,101984,100107,103861,41,50,36,317,8,5,5,6,6,5,8,,,,,,,20,16,24,,,,,,,3,2,3,613,19,17,20,19,15,12,18,,,,11,7,16,14,10,18,,,,,,,21,19,23,452,14,13,15,11,8,13,,,,,,,25,20,31,,,,,,,14,12,16,417,9,8,10,10,8,12,,,,6,3,9,12,9,16,,,,,,,9,8,10,,408,70400,6,77.8,74.0,215,162810,65,64,66,37733,15,15,16,94,234735,93,94,655808,22.2,14.6,71733,10.9,8086,1.2,45123,6.9,2316,0.4,137632,21.0,375690,57.3,24856,4,4,4,50.0,13518,2.1
08007,Colorado,Archuleta,80.9,78.9,82.9,77.5,73.8,81.2,,,,,,,,,,,,,,,,81.6,79.2,84.0,177,288,236,340,398,274,559,,,,,,,,,,,,,,,,271,211,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,12,15,13,18,8,7,9,16,132,1360,10,1294,11,,,,,,,,,,,,,,,,,,,,,,,,,,28,26,29,1022,13,11,15,183,7,5,10,107,934:1,104,93,,,,2.9,,,,2.5,3.4,2.6,,,,2.3,3.0,0.02,11813,-669,47824,55996,0.85,0.62,1.08,66025,57102,74948,,,,,,,,,,66750,40990,92510,64971,53165,76777,45,,35,6,10,,,,,,,,,,,,,,,,,,,,,,,,,20,31,17,50,29,,,,,,,,,,,,,,,,,,,,,,17,25,14,39,,,,,,,,,,,,,,,,,,,,,,16,17,10,28,,,,,,,,,,,,,,,,,,,,,,,5,1200,4,83.2,43.4,17,4349,76,68,84,712,13,9,16,90,5136,86,93,14003,17.0,28.3,87,0.6,533,3.8,157,1.1,22,0.2,2578,18.4,10698,76.4,43,0,0,1,49.7,7727,57.8
08009,Colorado,Baca,72.4,69.3,75.5,,,,,,,,,,,,,,,,,,,,,,81,616,476,783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,15,18,15,21,9,8,11,,,480,14,390,10,,,,,,,,,,,,,,,,,,,,,,,,,,31,30,33,280,15,13,18,53,7,4,9,175,572:1,,,,,,,,,,,,,,,,,,0.08,13804,-5039,37500,49358,0.76,0.53,0.99,47147,40128,54166,18750,15940,21560,,,,,,,35500,11545,59455,46349,39585,53113,60,,20,5,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,40,19,74,,,,,,,,,,,,,,,,,,,,,,,5,300,17,81.8,49.5,23,1169,74,68,79,201,13,8,19,81,1280,74,87,3432,22.6,24.7,35,1.0,83,2.4,14,0.4,0,0.0,437,12.7,2799,81.6,7,0,0,2,49.9,3506,100.0
08011,Colorado,Bent,73.9,71.5,76.3,73.1,68.4,77.9,,,,,,,,,,,,,,,,73.2,70.1,76.4,122,598,488,708,710,500,978,,,,,,,,,,,,,,,,605,468,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,16,17,14,19,12,10,13,8,156,970,17,333,5,,,,,,,,,,,,,,,,,,,,,,,,,,33,32,34,208,9,7,11,18,2,1,3,37,2700:1,540,53,,,,3.1,,,,2.9,3.2,3.1,,,,2.9,3.2,0.05,13304,-3642,40167,36991,1.09,0.65,1.52,42958,36660,49256,46688,28558,64818,,,,,,,45270,23924,66616,50033,32444,67622,56,,36,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,25,12,46,,,,,,,,,,,,,,,,,,,,,,,9,400,23,48.6,57.7,21,1114,62,55,69,218,13,6,20,81,1471,77,86,5399,16.1,19.7,320,5.9,198,3.7,85,1.6,7,0.1,1804,33.4,3059,56.7,71,1,0,4,36.8,5650,100.0
08013,Colorado,Boulder,82.2,81.9,82.5,80.9,79.6,82.1,,,,90.3,87.1,93.4,74.2,69.7,78.6,,,,,,,82.2,81.9,82.6,2526,222,213,231,292,258,326,,,,92,67,125,565,419,744,,,,,,,218,208,228,92,31,25,38,36,23,54,,,,,,,,,,,,,,,,26,20,34,64,3,3,4,5,3,8,,,,,,,,,,,,,,,,3,2,4,9,8,10,15,13,17,6,5,7,480,166,27960,9,7671,3,147,15,13,17,16,10,24,,,,,,,,,,,,,,,,15,12,18,24,23,25,17283,8,7,9,2361,4,3,5,144,694:1,4874,91,5,3,7,3.4,,,,2.7,3.6,3.3,,4.0,,2.5,3.6,0.13,12850,3053,67439,84854,0.79,0.76,0.83,96584,91480,101688,,,,108385,99812,116958,59179,35518,82840,75536,69035,82037,103630,100233,107027,26,55,37,250,18,2,1,3,,,,,,,,,,,,,,,,,,,,,,324,18,16,20,20,10,7,16,,,,,,,,,,,,,,,,20,17,22,181,11,9,13,7,4,11,,,,,,,,,,,,,,,,13,11,15,181,8,7,9,11,7,15,,,,,,,,,,,,,,,,7,6,9,,186,30000,6,83.6,74.9,160,83066,62,61,63,24122,18,17,20,94,125497,93,95,327468,17.3,16.6,3454,1.1,2935,0.9,16852,5.1,269,0.1,46030,14.1,251865,76.9,4177,1,1,2,49.4,31100,9.4
08014,Colorado,Broomfield,82.0,81.3,82.8,82.7,78.8,86.5,,,,86.5,82.6,90.4,,,,,,,,,,81.9,81.1,82.7,552,226,206,245,246,184,323,,,,,,,,,,,,,,,,228,206,249,31,45,31,64,,,,,,,,,,,,,,,,,,,,,,22,5,3,7,,,,,,,,,,,,,,,,,,,,,,8,7,9,13,11,15,6,5,7,12,19,5190,7,2817,5,31,14,10,20,,,,,,,,,,,,,,,,,,,,,,26,25,28,2825,6,5,7,463,3,2,4,89,1119:1,,,,,,3.6,,3.4,,2.9,3.8,3.4,,3.4,,2.7,3.6,0.04,,,70409,92291,0.76,0.72,0.81,114746,103772,125720,101136,93085,109187,153693,116093,191293,160673,127243,194103,93173,82551,103795,117631,113452,121810,20,56,33,47,13,3,2,5,,,,,,,,,,,,,,,,,,,,,,58,16,12,20,16,,,,,,,,,,,,,,,,,,,,,,37,10,7,14,,,,,,,,,,,,,,,,,,,,,,21,4,3,7,,,,,,,,,,,,,,,,,,,,,,,24,7800,3,91.4,75.7,119,19247,64,63,65,3218,11,9,12,95,28585,94,96,76121,20.2,15.7,1063,1.4,667,0.9,5756,7.6,123,0.2,10571,13.9,56640,74.4,908,1,1,2,49.5,293,0.4
