fips,state,county,county,med_ re_taxes_paid,med_ re_taxes_paid_real,Location 
1001, Alabama,Autauga ,Autauga County,471,471,9
1003, Alabama,Baldwin ,Baldwin County,583,583,9
1005, Alabama,Barbour ,Barbour County,287,287,9
1007, Alabama,Bibb ,Bibb County,275,275,6
1009, Alabama,Blount ,Blount County,397,397,8
1011, Alabama,Bullock ,Bullock County,394,394,9
1013, Alabama,Butler ,Butler County,316,316,8
1015, Alabama,Calhoun ,Calhoun County,478,478,9
1017, Alabama,Chambers ,Chambers County,342,342,10
1019, Alabama,Cherokee ,Cherokee County,483,483,10
1021, Alabama,Chilton ,Chilton County,381,381,9
1023, Alabama,Choctaw ,Choctaw County,0,0,9
1025, Alabama,Clarke ,Clarke County,310,310,8
1027, Alabama,Clay ,Clay County,268,268,6
1029, Alabama,Cleburne ,Cleburne County,394,394,10
1031, Alabama,Coffee ,Coffee County,547,547,8
1033, Alabama,Colbert ,Colbert County,457,457,9
1035, Alabama,Conecuh ,Conecuh County,303,303,9
1037, Alabama,Coosa ,Coosa County,277,277,7
1039, Alabama,Covington ,Covington County,291,291,11
1041, Alabama,Crenshaw ,Crenshaw County,276,276,10
1043, Alabama,Cullman ,Cullman County,363,363,9
1045, Alabama,Dale ,Dale County,398,398,6
1047, Alabama,Dallas ,Dallas County,322,322,8
1049, Alabama,DeKalb ,DeKalb County,356,356,8
1051, Alabama,Elmore ,Elmore County,484,484,8
1053, Alabama,Escambia ,Escambia County,371,371,10
1055, Alabama,Etowah ,Etowah County,476,476,8
1057, Alabama,Fayette ,Fayette County,241,241,9
1059, Alabama,Franklin ,Franklin County,323,323,10
1061, Alabama,Geneva ,Geneva County,331,331,8
1063, Alabama,Greene ,Greene County,223,223,8
1065, Alabama,Hale ,Hale County,319,319,6
1067, Alabama,Henry ,Henry County,391,391,7
1069, Alabama,Houston ,Houston County,454,454,9
1071, Alabama,Jackson ,Jackson County,352,352,9
1073, Alabama,Jefferson ,Jefferson County,1014,1014,11
1075, Alabama,Lamar ,Lamar County,231,231,7
1077, Alabama,Lauderdale ,Lauderdale County,574,574,12
1079, Alabama,Lawrence ,Lawrence County,386,386,10
1081, Alabama,Lee ,Lee County,854,854,5
1083, Alabama,Limestone ,Limestone County,562,562,11
1085, Alabama,Lowndes ,Lowndes County,330,330,9
1087, Alabama,Macon ,Macon County,372,372,7
1089, Alabama,Madison ,Madison County,835,835,9
1091, Alabama,Marengo ,Marengo County,313,313,9
1093, Alabama,Marion ,Marion County,259,259,8
1095, Alabama,Marshall ,Marshall County,517,517,10
1097, Alabama,Mobile ,Mobile County,696,696,8
1099, Alabama,Monroe ,Monroe County,291,291,8
1101, Alabama,Montgomery ,Montgomery County,497,497,12
1103, Alabama,Morgan ,Morgan County,511,511,8
1105, Alabama,Perry ,Perry County,313,313,7
1107, Alabama,Pickens ,Pickens County,329,329,9
1109, Alabama,Pike ,Pike County,391,391,6
1111, Alabama,Randolph ,Randolph County,327,327,10
1113, Alabama,Russell ,Russell County,546,546,9
1115, Alabama,St. Clair ,St. Clair County,464,464,11
1117, Alabama,Shelby ,Shelby County,1050,1050,8
1119, Alabama,Sumter ,Sumter County,273,273,8
1121, Alabama,Talladega ,Talladega County,389,389,11
1123, Alabama,Tallapoosa ,Tallapoosa County,360,360,12
1125, Alabama,Tuscaloosa ,Tuscaloosa County,611,611,12
1127, Alabama,Walker ,Walker County,271,271,8
1129, Alabama,Washington ,Washington County,246,246,12
1131, Alabama,Wilcox ,Wilcox County,260,260,8
1133, Alabama,Winston ,Winston County,270,270,9
2013, Alaska,Aleutians East ,Aleutians East Borough,0,200-,16
2016, Alaska,Aleutians West ,Aleutians West Census Area,2673,2673,16
2020, Alaska,Anchorage ,Anchorage Municipality,4067,4067,11
2050, Alaska,Bethel ,Bethel Census Area,,-,8
2060, Alaska,Bristol Bay ,Bristol Bay Borough,1783,1783,13
2068, Alaska,Denali ,Denali Borough,,-,8
2070, Alaska,Dillingham ,Dillingham Census Area,2345,2345,12
2090, Alaska,Fairbanks North Star ,Fairbanks North Star Borough,2790,2790,22
2100, Alaska,Haines ,Haines Borough,1839,1839,8
2105, Alaska,Hoonah-Angoon ,Hoonah-Angoon Census Area,1000,1000,15
2110, Alaska,Juneau ,Juneau City and Borough,3211,3211,8
2122, Alaska,Kenai Peninsula ,Kenai Peninsula Borough,1595,1595,17
2130, Alaska,Ketchikan Gateway ,Ketchikan Gateway Borough,2144,2144,19
2150, Alaska,Kodiak Island ,Kodiak Island Borough,3185,3185,15
2158, Alaska,Kusilvak ,Kusilvak Census Area,0,200-,10
2164, Alaska,Lake and Peninsula ,Lake and Peninsula Borough,,-,20
2170, Alaska,Matanuska-Susitna ,Matanuska-Susitna Borough,2836,2836,19
2180, Alaska,Nome ,Nome Census Area,1929,1929,6
