,,,Life Expectancy,,,,,,,,,,,,,,,,,,,,,,,,Premature Age-Adjusted Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Child Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Infant Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Frequent Physical Distress,,,Frequent Mental Distress,,,Diabetes Prevalence,,,HIV Prevalence,,Food Insecurity,,Limited Access to Healthy Foods,,Drug Overdose Deaths,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient Sleep,,,Uninsured Adults,,,,Uninsured Children,,,,Other Primary Care Providers,,High School Graduation,,Disconnected Youth,,,Reading Scores,,,,,,Math Scores,,,,,,School Segregation,School Funding Adequacy,,Gender Pay Gap,,,,,Median Household Income,,,,,,,,,,,,,,,,,,Children Eligible for Free or Reduced Price Lunch,Residential Segregation - Black/White,Child Care Cost Burden,Child Care Centers,,Homicides,,,,,,,,,,,,,,,,,,,,,,,,Suicides,,,,,,,,,,,,,,,,,,,,,,,,,,Firearm Fatalities,,,,,,,,,,,,,,,,,,,,,,,,,Motor Vehicle Crash Deaths,,,,,,,,,,,,,,,,,,,,,,,,,Juvenile Arrests,,,,Voter Turnout,Census Participation,Traffic Volume,Homeownership,,,,Severe Housing Cost Burden,,,,Broadband Access,,,,Population,% Below 18 Years of Age,% 65 and Older,% Non-Hispanic Black,,% American Indian or Alaska Native,,% Asian,,% Native Hawaiian or Other Pacific Islander,,% Hispanic,,% Non-Hispanic White,,% Not Proficient in English,,,,% Female,% Rural,
FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Hispanic (all races)),Life Expectancy (Hispanic (all races)) 95% CI - Low,Life Expectancy (Hispanic (all races)) 95% CI - High,Life Expectancy (Non-Hispanic AIAN),Life Expectancy (Non-Hispanic AIAN) 95% CI - Low,Life Expectancy (Non-Hispanic AIAN) 95% CI - High,Life Expectancy (Non-Hispanic Asian),Life Expectancy (Non-Hispanic Asian) 95% CI - Low,Life Expectancy (Non-Hispanic Asian) 95% CI - High,Life Expectancy (Non-Hispanic Black),Life Expectancy (Non-Hispanic Black) 95% CI - Low,Life Expectancy (Non-Hispanic Black) 95% CI - High,Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander),Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Life Expectancy (Non-Hispanic 2+ races),Life Expectancy (Non-Hispanic 2+ races) 95% CI - Low,Life Expectancy (Non-Hispanic 2+ races) 95% CI - High,Life Expectancy (Non-Hispanic White),Life Expectancy (Non-Hispanic White) 95% CI - Low,Life Expectancy (Non-Hispanic White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Hispanic (all races)),Age-Adjusted Mortality (Hispanic (all races)) 95% CI - Low,Age-Adjusted Mortality (Hispanic (all races)) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic AIAN),Age-Adjusted Mortality (Non-Hispanic AIAN) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic AIAN) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Asian),Age-Adjusted Mortality (Non-Hispanic Asian) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Asian) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Black),Age-Adjusted Mortality (Non-Hispanic Black) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Black) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander),Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic 2+ races),Age-Adjusted Mortality (Non-Hispanic 2+ races) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic 2+ races) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic White),Age-Adjusted Mortality (Non-Hispanic White) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic White) 95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Hispanic (all races)),Child Mortality Rate (Hispanic (all races)) 95% CI - Low,Child Mortality Rate (Hispanic (all races)) 95% CI - High,Child Mortality Rate (Non-Hispanic AIAN),Child Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Child Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Child Mortality Rate (Non-Hispanic Asian),Child Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Child Mortality Rate (Non-Hispanic Asian) 95% CI - High,Child Mortality Rate (Non-Hispanic Black),Child Mortality Rate (Non-Hispanic Black) 95% CI - Low,Child Mortality Rate (Non-Hispanic Black) 95% CI - High,Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Child Mortality Rate (Non-Hispanic 2+ races),Child Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Child Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Child Mortality Rate (Non-Hispanic White),Child Mortality Rate (Non-Hispanic White) 95% CI - Low,Child Mortality Rate (Non-Hispanic White) 95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Hispanic (all races)),Infant Mortality Rate (Hispanic (all races)) 95% CI - Low,Infant Mortality Rate (Hispanic (all races)) 95% CI - High,Infant Mortality Rate (Non-Hispanic AIAN),Infant Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Infant Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Infant Mortality Rate (Non-Hispanic Asian),Infant Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Asian) 95% CI - High,Infant Mortality Rate (Non-Hispanic Black),Infant Mortality Rate (Non-Hispanic Black) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Black) 95% CI - High,Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Infant Mortality Rate (Non-Hispanic 2+ races),Infant Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Infant Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Infant Mortality Rate (Non-Hispanic White),Infant Mortality Rate (Non-Hispanic White) 95% CI - Low,Infant Mortality Rate (Non-Hispanic White) 95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Adults with Diabetes,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access to Healthy Foods,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low,95% CI - High,Drug Overdose Mortality Rate (Hispanic (all races)),Drug Overdose Mortality Rate (Hispanic (all races)) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic (all races)) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic AIAN),Drug Overdose Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Asian),Drug Overdose Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Asian) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Black),Drug Overdose Mortality Rate (Non-Hispanic Black) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Black) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic 2+ races),Drug Overdose Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic White),Drug Overdose Mortality Rate (Non-Hispanic White) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic White) 95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured Adults,% Uninsured Adults,95% CI - Low,95% CI - High,# Uninsured Children,% Uninsured Children,95% CI - Low,95% CI - High,Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low,95% CI - High,Average Grade Performance,Average Grade Performance (AIAN),Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (White),Average Grade Performance,Average Grade Performance (AIAN),Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (White),Segregation Index,Spending per Pupil,School Funding Adequacy,Women's Median Earnings,Men's Median Earnings,Gender Pay Gap,95% CI - Low,95% CI - High,Median Household Income,95% CI - Low,95% CI - High,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation Index,% Household Income Required for Child Care Expenses,# Child Care Centers,"Child Care Centers per 1,000 Children",Homicide Rate,95% CI - Low,95% CI - High,Homicide Rate (Hispanic (all races)),Homicide Rate (Hispanic (all races)) 95% CI - Low,Homicide Rate (Hispanic (all races)) 95% CI - High,Homicide Rate (Non-Hispanic AIAN),Homicide Rate (Non-Hispanic AIAN) 95% CI - Low,Homicide Rate (Non-Hispanic AIAN) 95% CI - High,Homicide Rate (Non-Hispanic Asian),Homicide Rate (Non-Hispanic Asian) 95% CI - Low,Homicide Rate (Non-Hispanic Asian) 95% CI - High,Homicide Rate (Non-Hispanic Black),Homicide Rate (Non-Hispanic Black) 95% CI - Low,Homicide Rate (Non-Hispanic Black) 95% CI - High,Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Homicide Rate (Non-Hispanic 2+ races),Homicide Rate (Non-Hispanic 2+ races) 95% CI - Low,Homicide Rate (Non-Hispanic 2+ races) 95% CI - High,Homicide Rate (Non-Hispanic White),Homicide Rate (Non-Hispanic White) 95% CI - Low,Homicide Rate (Non-Hispanic White) 95% CI - High,# Deaths,Suicide Rate (Age-Adjusted),95% CI - Low,95% CI - High,Crude Rate,Suicide Rate (Hispanic (all races)),Suicide Rate (Hispanic (all races)) 95% CI - Low,Suicide Rate (Hispanic (all races)) 95% CI - High,Suicide Rate (Non-Hispanic AIAN),Suicide Rate (Non-Hispanic AIAN) 95% CI - Low,Suicide Rate (Non-Hispanic AIAN) 95% CI - High,Suicide Rate (Non-Hispanic Asian),Suicide Rate (Non-Hispanic Asian) 95% CI - Low,Suicide Rate (Non-Hispanic Asian) 95% CI - High,Suicide Rate (Non-Hispanic Black),Suicide Rate (Non-Hispanic Black) 95% CI - Low,Suicide Rate (Non-Hispanic Black) 95% CI - High,Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Suicide Rate (Non-Hispanic 2+ races),Suicide Rate (Non-Hispanic 2+ races) 95% CI - Low,Suicide Rate (Non-Hispanic 2+ races) 95% CI - High,Suicide Rate (Non-Hispanic White),Suicide Rate (Non-Hispanic White) 95% CI - Low,Suicide Rate (Non-Hispanic White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Firearm Fatalities Rate (Hispanic (all races)),Firearm Fatalities Rate (Hispanic (all races)) 95% CI - Low,Firearm Fatalities Rate (Hispanic (all races)) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic AIAN),Firearm Fatalities Rate (Non-Hispanic AIAN) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic AIAN) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Asian),Firearm Fatalities Rate (Non-Hispanic Asian) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Asian) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Black),Firearm Fatalities Rate (Non-Hispanic Black) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Black) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic 2+ races),Firearm Fatalities Rate (Non-Hispanic 2+ races) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic 2+ races) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic White),Firearm Fatalities Rate (Non-Hispanic White) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low,95% CI - High,MV Mortality Rate (Hispanic (all races)),MV Mortality Rate (Hispanic (all races)) 95% CI - Low,MV Mortality Rate (Hispanic (all races)) 95% CI - High,MV Mortality Rate (Non-Hispanic AIAN),MV Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,MV Mortality Rate (Non-Hispanic AIAN) 95% CI - High,MV Mortality Rate (Non-Hispanic Asian),MV Mortality Rate (Non-Hispanic Asian) 95% CI - Low,MV Mortality Rate (Non-Hispanic Asian) 95% CI - High,MV Mortality Rate (Non-Hispanic Black),MV Mortality Rate (Non-Hispanic Black) 95% CI - Low,MV Mortality Rate (Non-Hispanic Black) 95% CI - High,MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,MV Mortality Rate (Non-Hispanic 2+ races),MV Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,MV Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,MV Mortality Rate (Non-Hispanic White),MV Mortality Rate (Non-Hispanic White) 95% CI - Low,MV Mortality Rate (Non-Hispanic White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,% Voter Turnout,% Census Participation,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Households with Severe Cost Burden,95% CI - Low,95% CI - High,% Households with Broadband Access,# Households with Broadband Access,95% CI - Low,95% CI - High,Population,% Less than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian or Alaska Native,% American Indian or Alaska Native,# Asian,% Asian,# Native Hawaiian or Other Pacific Islander,% Native Hawaiian or Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural Residents,% Rural
27000,Minnesota,,79.7,79.6,79.8,,,,,,,,,,,,,,,,,,,,,,60251,301,298,303,,,,,,,,,,,,,,,,,,,,,,2510,43,42,45,,,,,,,,,,,,,,,,,,,,,,2261,5,5,5,,,,,,,,,,,,,,,,,,,,,,8,7,9,13,12,14,8,8,8,9223,193,390000,7,302030,6,3198,19,18,19,,,,,,,,,,,,,,,,,,,,,,28,27,29,208310,6,6,6,42794,3,3,4,152,658:1,67949,84,5,4,5,3.1,,,,,,3.3,,,,,,0.24,13609,1502,56547,68471,0.83,0.82,0.83,82343,81464,83222,,,,,,,,,,,,,,,,32,63,30,,6,3,3,3,,,,,,,,,,,,,,,,,,,,,,3910,14,13,14,14,,,,,,,,,,,,,,,,,,,,,,2453,9,8,9,,,,,,,,,,,,,,,,,,,,,,3158,8,8,8,,,,,,,,,,,,,,,,,,,,,,,8606,591800,15,79.7,,135,1631701,72,72,73,244246,11,11,11,90,2024014,90,90,5717184,22.6,17.4,423114,7.4,78885,1.4,313223,5.5,5025,0.1,341414,6.0,4438142,77.6,102620,2,2,2,49.8,1604740,28.1
27001,Minnesota,Aitkin,78.2,76.7,79.7,,,,,,,,,,,,,,,,,,,,,,287,369,315,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,12,16,14,19,9,8,11,6,42,1510,10,1837,11,12,25,13,44,,,,,,,,,,,,,,,,,,,,,,30,28,31,633,8,7,9,115,4,3,6,81,1240:1,155,84,,,,3.1,,,,,,3.1,,,,,,0.10,15709,-1035,45552,55872,0.82,0.77,0.86,59064,52063,66065,46429,30160,62698,116667,51662,181672,,,,50250,46081,54419,56560,53743,59377,33,,33,1,2,,,,,,,,,,,,,,,,,,,,,,,,,24,31,18,49,30,,,,,,,,,,,,,,,,,,,,,,15,19,11,31,,,,,,,,,,,,,,,,,,,,,,22,20,12,30,,,,,,,,,,,,,,,,,,,,,,,33,1300,25,76.1,39.7,16,5751,85,83,86,858,13,11,15,81,5513,79,83,16126,15.2,34.1,82,0.5,383,2.4,56,0.3,7,0.0,239,1.5,15130,93.8,11,0,0,0,49.2,15697,100.0
27003,Minnesota,Anoka,80.3,80.0,80.6,87.8,82.7,92.9,68.9,63.9,73.8,83.2,80.4,85.9,77.0,75.2,78.8,,,,,,,80.4,80.1,80.8,3651,289,280,299,213,161,277,768,572,1010,279,229,329,392,337,448,,,,,,,284,274,295,151,41,34,47,37,19,67,,,,47,24,85,64,42,94,,,,,,,35,28,43,119,4,3,5,,,,,,,,,,10,7,13,,,,,,,3,2,4,8,7,10,13,12,15,8,7,9,445,145,15350,4,21543,7,183,17,14,19,,,,,,,,,,22,14,35,,,,,,,17,15,20,31,29,32,13471,6,5,7,2169,2,2,3,85,1175:1,4901,87,4,3,5,3.2,,3.1,2.8,2.5,3.4,3.4,,3.3,2.7,2.6,3.6,0.11,13005,-402,57899,69847,0.83,0.81,0.85,92249,88072,96426,112650,77115,148185,116667,106810,126524,67913,58771,77055,79420,72758,86082,97956,96141,99771,31,48,39,147,7,2,1,3,,,,,,,,,,12,8,19,,,,,,,1,1,2,239,13,11,15,13,,,,,,,12,6,21,,,,,,,,,,14,12,16,162,9,8,10,,,,,,,,,,18,12,27,,,,,,,9,7,10,187,8,6,9,,,,,,,,,,7,4,12,,,,,,,8,7,9,,409,39600,10,81.3,82.0,100,107811,80,79,81,12626,10,9,10,93,124651,92,93,368864,23.4,15.6,33034,9.0,3166,0.9,22498,6.1,244,0.1,20260,5.5,280451,76.0,7266,2,2,2,49.5,57867,15.9
27005,Minnesota,Becker,76.8,75.9,77.8,,,,58.0,54.0,62.1,,,,,,,,,,,,,78.9,78.0,79.9,535,392,356,429,,,,1379,1108,1697,,,,,,,,,,,,,321,287,355,14,39,21,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,11,15,13,17,9,8,10,12,41,2670,8,4149,13,13,12,7,21,,,,,,,,,,,,,,,,,,,,,,30,28,31,1442,8,6,9,366,4,3,5,124,804:1,384,83,8,4,11,3.1,,,,,,3.3,,,,,,0.15,12639,1203,46551,56135,0.83,0.78,0.87,67448,62026,72870,34125,27222,41028,71250,63572,78928,63472,47355,79589,48177,33240,63114,71854,68340,75368,33,71,33,13,6,4,2,8,,,,,,,,,,,,,,,,,,,,,,35,22,15,30,20,,,,,,,,,,,,,,,,,,,,,,29,17,11,24,,,,,,,,,,,,,,,,,,,,,,41,17,12,23,,,,63,31,113,,,,,,,,,,,,,13,9,19,,112,3800,29,75.4,56.1,23,11049,78,76,80,1379,10,9,12,86,12203,85,87,35371,23.3,22.7,219,0.6,2663,7.5,201,0.6,22,0.1,840,2.4,30458,86.1,68,0,0,1,49.7,24949,70.9
27007,Minnesota,Beltrami,75.1,74.2,76.0,,,,63.0,60.2,65.7,,,,,,,,,,,,,79.2,78.3,80.1,719,490,452,528,,,,1211,1063,1359,,,,,,,,,,,,,323,290,357,36,66,46,92,,,,118,72,182,,,,,,,,,,,,,36,18,64,41,9,7,12,,,,,,,,,,,,,,,,,,,,,,11,9,13,17,14,19,10,9,12,34,90,4560,10,6991,16,55,39,29,51,,,,124,87,171,,,,,,,,,,,,,14,8,23,32,30,33,2508,10,9,12,568,5,4,7,167,600:1,611,68,4,2,7,2.7,,,,,,3.0,,,,,,0.26,17763,3364,51796,53419,0.97,0.89,1.05,59882,53481,66283,53540,46200,60880,92045,57934,126156,,,,51620,38261,64979,66680,63710,69650,43,71,32,20,6,7,4,10,,,,,,,,,,,,,,,,,,,,,,47,22,16,29,20,,,,48,29,74,,,,,,,,,,,,,14,9,22,34,15,10,20,,,,34,20,55,,,,,,,,,,,,,10,6,16,54,17,12,22,,,,35,23,52,,,,,,,,,,,,,12,8,17,,93,5200,18,69.8,58.9,35,12114,68,66,70,2144,12,10,14,87,15529,85,89,46799,24.5,17.4,372,0.8,10317,22.0,375,0.8,32,0.1,1244,2.7,33384,71.3,121,0,0,1,49.5,31379,67.9
27009,Minnesota,Benton,77.7,76.9,78.5,,,,,,,,,,74.5,69.2,79.8,,,,,,,77.9,77.2,78.7,447,331,300,362,,,,,,,,,,,,,,,,,,,,,,21,47,29,71,,,,,,,,,,,,,,,,,,,,,,24,6,4,10,,,,,,,,,,,,,,,,,,,,,,9,8,11,15,13,18,8,7,10,30,88,3000,7,3046,8,17,14,8,22,,,,,,,,,,,,,,,,,,,,,,31,29,33,1653,7,6,8,411,4,3,5,7,13821:1,471,88,,,,3.0,,,2.1,2.6,3.2,3.3,,,2.1,2.6,3.4,0.16,11976,3564,48031,59827,0.80,0.75,0.86,71493,62900,80086,48580,34010,63150,50764,24930,76598,46471,43477,49465,56912,26453,87371,75551,68445,82657,29,79,31,15,6,,,,,,,,,,,,,,,,,,,,,,,,,35,17,12,24,17,,,,,,,,,,,,,,,,,,,,,,26,13,8,19,,,,,,,,,,,,,,,,,,,,,,28,10,7,14,,,,,,,,,,,,,,,,,,,,,,,78,4600,17,75.7,75.7,59,10842,66,64,69,1514,9,8,11,89,14568,87,91,41463,25.1,14.3,2410,5.8,257,0.6,495,1.2,33,0.1,1395,3.4,35968,86.7,362,1,0,2,49.4,18635,45.0
27011,Minnesota,Big Stone,78.0,75.4,80.6,,,,,,,,,,,,,,,,,,,,,,73,356,270,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,12,16,14,18,9,7,10,0,0,440,9,518,10,,,,,,,,,,,,,,,,,,,,,,,,,,29,27,31,192,7,6,9,59,5,3,7,136,735:1,,,,,,3.4,,,,,,3.4,,,,,,0.05,13421,-985,46831,51964,0.90,0.80,1.00,57821,49528,66114,,,,,,,,,,58438,34667,82209,62641,55982,69300,30,,32,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,500,16,76.8,59.8,3,1698,76,73,78,197,9,6,12,87,1952,83,91,5144,21.5,26.6,24,0.5,44,0.9,21,0.4,0,0.0,115,2.2,4883,94.9,24,0,0,2,49.0,5166,100.0
27013,Minnesota,Blue Earth,79.7,79.0,80.4,,,,,,,,,,,,,,,,,,,,,,596,297,272,322,,,,,,,,,,,,,,,,,,,,,,27,39,26,57,,,,,,,,,,,,,,,,,,,,,,32,6,4,9,,,,,,,,,,,,,,,,,,,,,,9,8,11,15,13,17,9,8,10,45,76,5070,7,10875,17,31,15,10,21,,,,,,,,,,,,,,,,,,,,,,32,30,33,2675,6,5,7,415,3,2,4,224,446:1,787,86,,,,3.3,,,2.6,3.0,3.5,3.5,,,2.5,3.4,3.7,0.07,12199,2709,46102,57668,0.80,0.75,0.85,68279,61961,74597,,,,59375,25941,92809,31406,21203,41609,54492,39062,69922,73994,70701,77287,28,45,33,34,9,2,1,4,,,,,,,,,,,,,,,,,,,,,,45,14,10,19,13,,,,,,,,,,,,,,,,,,,,,,23,7,4,10,,,,,,,,,,,,,,,,,,,,,,27,6,4,8,,,,,,,,,,,,,,,,,,,,,,,188,6000,31,69.3,70.5,66,16635,61,60,63,3677,14,12,16,89,24052,87,90,69631,19.5,15.2,3489,5.0,321,0.5,1792,2.6,58,0.1,3040,4.4,59547,85.5,756,1,1,2,49.5,23203,33.6
27015,Minnesota,Brown,79.4,78.3,80.4,,,,,,,,,,,,,,,,,,,,,,303,315,276,353,,,,,,,,,,,,,,,,,,,,,,15,60,34,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,11,15,13,17,8,7,10,10,46,1490,6,1047,4,,,,,,,,,,,,,,,,,,,,,,,,,,30,28,31,816,6,5,7,194,3,2,4,89,1118:1,292,78,,,,3.1,,,,,,3.3,,,,,,0.10,13917,1561,44552,57409,0.78,0.74,0.82,64093,57635,70551,,,,,,,39063,5034,73092,67668,43873,91463,67640,63602,71678,28,64,30,11,8,,,,,,,,,,,,,,,,,,,,,,,,,26,22,14,33,21,,,,,,,,,,,,,,,,,,,,,,19,15,9,24,,,,,,,,,,,,,,,,,,,,,,17,10,6,15,,,,,,,,,,,,,,,,,,,,,,,65,2600,25,75.6,77.0,49,8593,79,76,81,869,8,6,10,85,9295,83,87,25723,21.9,22.1,155,0.6,84,0.3,188,0.7,11,0.0,1331,5.2,23763,92.4,149,1,0,1,49.5,12477,48.2
