,,,Life Expectancy,,,,,,,,,,,,,,,,,,,,,,,,Premature Age-Adjusted Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Child Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Infant Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Frequent Physical Distress,,,Frequent Mental Distress,,,Diabetes Prevalence,,,HIV Prevalence,,Food Insecurity,,Limited Access to Healthy Foods,,Drug Overdose Deaths,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient Sleep,,,Uninsured Adults,,,,Uninsured Children,,,,Other Primary Care Providers,,High School Graduation,,Disconnected Youth,,,Reading Scores,,,,,,Math Scores,,,,,,School Segregation,School Funding Adequacy,,Gender Pay Gap,,,,,Median Household Income,,,,,,,,,,,,,,,,,,Children Eligible for Free or Reduced Price Lunch,Residential Segregation - Black/White,Child Care Cost Burden,Child Care Centers,,Homicides,,,,,,,,,,,,,,,,,,,,,,,,Suicides,,,,,,,,,,,,,,,,,,,,,,,,,,Firearm Fatalities,,,,,,,,,,,,,,,,,,,,,,,,,Motor Vehicle Crash Deaths,,,,,,,,,,,,,,,,,,,,,,,,,Juvenile Arrests,,,,Voter Turnout,Census Participation,Traffic Volume,Homeownership,,,,Severe Housing Cost Burden,,,,Broadband Access,,,,Population,% Below 18 Years of Age,% 65 and Older,% Non-Hispanic Black,,% American Indian or Alaska Native,,% Asian,,% Native Hawaiian or Other Pacific Islander,,% Hispanic,,% Non-Hispanic White,,% Not Proficient in English,,,,% Female,% Rural,
FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Hispanic (all races)),Life Expectancy (Hispanic (all races)) 95% CI - Low,Life Expectancy (Hispanic (all races)) 95% CI - High,Life Expectancy (Non-Hispanic AIAN),Life Expectancy (Non-Hispanic AIAN) 95% CI - Low,Life Expectancy (Non-Hispanic AIAN) 95% CI - High,Life Expectancy (Non-Hispanic Asian),Life Expectancy (Non-Hispanic Asian) 95% CI - Low,Life Expectancy (Non-Hispanic Asian) 95% CI - High,Life Expectancy (Non-Hispanic Black),Life Expectancy (Non-Hispanic Black) 95% CI - Low,Life Expectancy (Non-Hispanic Black) 95% CI - High,Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander),Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Life Expectancy (Non-Hispanic 2+ races),Life Expectancy (Non-Hispanic 2+ races) 95% CI - Low,Life Expectancy (Non-Hispanic 2+ races) 95% CI - High,Life Expectancy (Non-Hispanic White),Life Expectancy (Non-Hispanic White) 95% CI - Low,Life Expectancy (Non-Hispanic White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Hispanic (all races)),Age-Adjusted Mortality (Hispanic (all races)) 95% CI - Low,Age-Adjusted Mortality (Hispanic (all races)) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic AIAN),Age-Adjusted Mortality (Non-Hispanic AIAN) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic AIAN) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Asian),Age-Adjusted Mortality (Non-Hispanic Asian) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Asian) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Black),Age-Adjusted Mortality (Non-Hispanic Black) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Black) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander),Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic 2+ races),Age-Adjusted Mortality (Non-Hispanic 2+ races) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic 2+ races) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic White),Age-Adjusted Mortality (Non-Hispanic White) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic White) 95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Hispanic (all races)),Child Mortality Rate (Hispanic (all races)) 95% CI - Low,Child Mortality Rate (Hispanic (all races)) 95% CI - High,Child Mortality Rate (Non-Hispanic AIAN),Child Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Child Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Child Mortality Rate (Non-Hispanic Asian),Child Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Child Mortality Rate (Non-Hispanic Asian) 95% CI - High,Child Mortality Rate (Non-Hispanic Black),Child Mortality Rate (Non-Hispanic Black) 95% CI - Low,Child Mortality Rate (Non-Hispanic Black) 95% CI - High,Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Child Mortality Rate (Non-Hispanic 2+ races),Child Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Child Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Child Mortality Rate (Non-Hispanic White),Child Mortality Rate (Non-Hispanic White) 95% CI - Low,Child Mortality Rate (Non-Hispanic White) 95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Hispanic (all races)),Infant Mortality Rate (Hispanic (all races)) 95% CI - Low,Infant Mortality Rate (Hispanic (all races)) 95% CI - High,Infant Mortality Rate (Non-Hispanic AIAN),Infant Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Infant Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Infant Mortality Rate (Non-Hispanic Asian),Infant Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Asian) 95% CI - High,Infant Mortality Rate (Non-Hispanic Black),Infant Mortality Rate (Non-Hispanic Black) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Black) 95% CI - High,Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Infant Mortality Rate (Non-Hispanic 2+ races),Infant Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Infant Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Infant Mortality Rate (Non-Hispanic White),Infant Mortality Rate (Non-Hispanic White) 95% CI - Low,Infant Mortality Rate (Non-Hispanic White) 95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Adults with Diabetes,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access to Healthy Foods,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low,95% CI - High,Drug Overdose Mortality Rate (Hispanic (all races)),Drug Overdose Mortality Rate (Hispanic (all races)) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic (all races)) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic AIAN),Drug Overdose Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Asian),Drug Overdose Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Asian) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Black),Drug Overdose Mortality Rate (Non-Hispanic Black) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Black) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic 2+ races),Drug Overdose Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic White),Drug Overdose Mortality Rate (Non-Hispanic White) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic White) 95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured Adults,% Uninsured Adults,95% CI - Low,95% CI - High,# Uninsured Children,% Uninsured Children,95% CI - Low,95% CI - High,Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low,95% CI - High,Average Grade Performance,Average Grade Performance (AIAN),Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (White),Average Grade Performance,Average Grade Performance (AIAN),Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (White),Segregation Index,Spending per Pupil,School Funding Adequacy,Women's Median Earnings,Men's Median Earnings,Gender Pay Gap,95% CI - Low,95% CI - High,Median Household Income,95% CI - Low,95% CI - High,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation Index,% Household Income Required for Child Care Expenses,# Child Care Centers,"Child Care Centers per 1,000 Children",Homicide Rate,95% CI - Low,95% CI - High,Homicide Rate (Hispanic (all races)),Homicide Rate (Hispanic (all races)) 95% CI - Low,Homicide Rate (Hispanic (all races)) 95% CI - High,Homicide Rate (Non-Hispanic AIAN),Homicide Rate (Non-Hispanic AIAN) 95% CI - Low,Homicide Rate (Non-Hispanic AIAN) 95% CI - High,Homicide Rate (Non-Hispanic Asian),Homicide Rate (Non-Hispanic Asian) 95% CI - Low,Homicide Rate (Non-Hispanic Asian) 95% CI - High,Homicide Rate (Non-Hispanic Black),Homicide Rate (Non-Hispanic Black) 95% CI - Low,Homicide Rate (Non-Hispanic Black) 95% CI - High,Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Homicide Rate (Non-Hispanic 2+ races),Homicide Rate (Non-Hispanic 2+ races) 95% CI - Low,Homicide Rate (Non-Hispanic 2+ races) 95% CI - High,Homicide Rate (Non-Hispanic White),Homicide Rate (Non-Hispanic White) 95% CI - Low,Homicide Rate (Non-Hispanic White) 95% CI - High,# Deaths,Suicide Rate (Age-Adjusted),95% CI - Low,95% CI - High,Crude Rate,Suicide Rate (Hispanic (all races)),Suicide Rate (Hispanic (all races)) 95% CI - Low,Suicide Rate (Hispanic (all races)) 95% CI - High,Suicide Rate (Non-Hispanic AIAN),Suicide Rate (Non-Hispanic AIAN) 95% CI - Low,Suicide Rate (Non-Hispanic AIAN) 95% CI - High,Suicide Rate (Non-Hispanic Asian),Suicide Rate (Non-Hispanic Asian) 95% CI - Low,Suicide Rate (Non-Hispanic Asian) 95% CI - High,Suicide Rate (Non-Hispanic Black),Suicide Rate (Non-Hispanic Black) 95% CI - Low,Suicide Rate (Non-Hispanic Black) 95% CI - High,Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Suicide Rate (Non-Hispanic 2+ races),Suicide Rate (Non-Hispanic 2+ races) 95% CI - Low,Suicide Rate (Non-Hispanic 2+ races) 95% CI - High,Suicide Rate (Non-Hispanic White),Suicide Rate (Non-Hispanic White) 95% CI - Low,Suicide Rate (Non-Hispanic White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Firearm Fatalities Rate (Hispanic (all races)),Firearm Fatalities Rate (Hispanic (all races)) 95% CI - Low,Firearm Fatalities Rate (Hispanic (all races)) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic AIAN),Firearm Fatalities Rate (Non-Hispanic AIAN) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic AIAN) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Asian),Firearm Fatalities Rate (Non-Hispanic Asian) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Asian) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Black),Firearm Fatalities Rate (Non-Hispanic Black) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Black) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic 2+ races),Firearm Fatalities Rate (Non-Hispanic 2+ races) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic 2+ races) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic White),Firearm Fatalities Rate (Non-Hispanic White) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low,95% CI - High,MV Mortality Rate (Hispanic (all races)),MV Mortality Rate (Hispanic (all races)) 95% CI - Low,MV Mortality Rate (Hispanic (all races)) 95% CI - High,MV Mortality Rate (Non-Hispanic AIAN),MV Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,MV Mortality Rate (Non-Hispanic AIAN) 95% CI - High,MV Mortality Rate (Non-Hispanic Asian),MV Mortality Rate (Non-Hispanic Asian) 95% CI - Low,MV Mortality Rate (Non-Hispanic Asian) 95% CI - High,MV Mortality Rate (Non-Hispanic Black),MV Mortality Rate (Non-Hispanic Black) 95% CI - Low,MV Mortality Rate (Non-Hispanic Black) 95% CI - High,MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,MV Mortality Rate (Non-Hispanic 2+ races),MV Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,MV Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,MV Mortality Rate (Non-Hispanic White),MV Mortality Rate (Non-Hispanic White) 95% CI - Low,MV Mortality Rate (Non-Hispanic White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,% Voter Turnout,% Census Participation,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Households with Severe Cost Burden,95% CI - Low,95% CI - High,% Households with Broadband Access,# Households with Broadband Access,95% CI - Low,95% CI - High,Population,% Less than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian or Alaska Native,% American Indian or Alaska Native,# Asian,% Asian,# Native Hawaiian or Other Pacific Islander,% Native Hawaiian or Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural Residents,% Rural
36000,New York,,79.7,79.6,79.7,,,,,,,,,,,,,,,,,,,,,,229510,325,324,327,,,,,,,,,,,,,,,,,,,,,,6775,37,36,38,,,,,,,,,,,,,,,,,,,,,,6831,4,4,4,,,,,,,,,,,,,,,,,,,,,,9,9,10,13,13,14,10,10,11,124630,737,2265160,11,462057,2,14424,25,24,25,,,,,,,,,,,,,,,,,,,,,,33,32,34,874355,7,7,8,109947,3,2,3,154,651:1,208280,85,7,6,7,,,,,,,,,,,,,0.34,26583,6721,60667,69918,0.87,0.86,0.87,79463,78613,80313,,,,,,,,,,,,,,,,55,74,38,,6,4,3,4,,,,,,,,,,,,,,,,,,,,,,8416,8,8,8,9,,,,,,,,,,,,,,,,,,,,,,4527,5,4,5,,,,,,,,,,,,,,,,,,,,,,7938,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,62.9,,438,4128119,54,54,55,1429384,19,19,20,88,6706160,88,88,19677151,20.3,18.1,2837505,14.4,205972,1.0,1894327,9.6,28627,0.1,3867076,19.7,10669241,54.2,1255157,7,7,7,51.1,2536083,12.6
36001,New York,Albany,78.7,78.4,79.1,83.0,80.0,86.0,,,,86.5,83.9,89.0,71.8,70.8,72.8,,,,,,,79.5,79.2,79.9,3866,351,339,362,319,265,374,,,,175,140,216,691,642,740,,,,,,,318,305,331,120,44,36,52,52,28,87,,,,,,,94,68,127,,,,,,,29,22,39,116,6,5,7,,,,,,,,,,13,10,17,,,,,,,4,3,5,9,8,10,16,14,18,9,8,11,1134,415,27680,9,16860,6,238,26,23,29,27,15,44,,,,,,,44,33,58,,,,,,,25,21,28,34,32,36,10193,5,5,6,1542,3,2,3,267,375:1,3115,87,5,3,7,,,,,,,,,,,,,0.19,21575,6994,60587,69546,0.87,0.83,0.91,76997,72633,81361,63250,26151,100349,97319,77400,117238,44379,40688,48070,56942,45650,68234,87418,84948,89888,41,57,41,132,9,3,3,4,,,,,,,,,,17,13,23,,,,,,,1,1,2,157,10,8,11,10,,,,,,,,,,,,,,,,,,,,,,104,7,5,8,,,,,,,,,,18,13,25,,,,,,,6,4,7,118,5,4,6,8,4,15,,,,,,,8,5,13,,,,,,,5,4,6,184,114,24700,12,65.6,64.7,186,74707,57,55,58,18407,14,13,15,88,116401,87,89,315811,17.7,18.5,41125,13.0,1095,0.3,23506,7.4,289,0.1,21894,6.9,220478,69.8,5252,2,1,2,51.3,30125,9.6
36003,New York,Allegany,77.5,76.7,78.3,,,,,,,,,,,,,,,,,,,,,,700,396,364,428,,,,,,,,,,,,,,,,,,,,,,16,34,19,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,13,16,14,18,10,9,12,31,78,5140,11,648,1,15,11,6,18,,,,,,,,,,,,,,,,,,,,,,36,34,37,1404,6,5,7,292,3,2,4,88,1139:1,504,89,3,2,5,,,,,,,,,,,,,0.06,25384,10401,41041,52244,0.79,0.73,0.84,55466,50945,59987,26250,18274,34226,92500,77391,107609,,,,39844,4746,74942,58669,56354,60984,50,,41,16,7,,,,,,,,,,,,,,,,,,,,,,,,,43,20,14,28,19,,,,,,,,,,,,,,,,,,,,,,33,14,10,20,,,,,,,,,,,,,,,,,,,,,,32,10,7,14,,,,,,,,,,,,,,,,,,,,,,20,24,4300,10,57.1,47.7,8,13584,81,80,82,1766,11,9,13,83,14006,81,85,46694,19.5,20.6,668,1.4,177,0.4,573,1.2,22,0.0,933,2.0,43787,93.8,271,1,0,1,48.9,41117,88.5
36005,New York,Bronx,77.3,77.1,77.4,79.3,79.1,79.6,,,,86.6,85.0,88.2,74.8,74.5,75.1,,,,,,,76.2,75.7,76.7,20350,459,453,465,385,377,393,,,,244,222,265,564,551,576,,,,,,,509,487,530,662,43,40,46,29,26,32,,,,34,21,53,64,56,72,,,,,,,60,46,77,670,5,4,5,3,3,4,,,,3,2,5,7,6,8,,,,,,,4,3,6,14,12,16,16,15,18,15,14,17,27313,2329,271700,19,8,0,1782,42,40,44,37,35,40,,,,7,4,12,48,44,52,,,,,,,64,56,72,36,35,38,89347,11,10,12,9130,3,2,3,150,666:1,14990,73,9,8,11,,,,,,,,,,,,,0.16,,,48049,48589,0.99,0.95,1.03,45864,43332,48396,46568,32270,60866,70275,62231,78319,47762,45380,50144,41220,39959,42481,75289,72229,78349,87,49,80,623,6,7,7,8,5,5,6,,,,,,,13,12,15,,,,,,,2,1,3,377,5,5,6,5,4,4,5,,,,6,3,9,5,4,6,,,,,,,10,8,13,386,5,5,6,3,3,4,,,,,,,11,9,12,,,,,,,3,2,5,412,4,4,4,4,3,4,,,,,,,4,3,4,,,,,,,8,6,10,,276,147500,,50.5,60.6,1013,104887,20,19,21,157006,31,30,32,84,439414,83,84,1379946,24.3,14.4,401310,29.1,42482,3.1,66149,4.8,5811,0.4,780819,56.6,119739,8.7,195143,15,14,15,52.7,1,0.0
36007,New York,Broome,77.2,76.8,77.6,84.3,77.8,90.8,,,,85.2,80.9,89.6,70.4,68.3,72.4,,,,,,,77.3,76.9,77.8,2835,410,393,426,403,308,518,,,,199,139,277,786,676,896,,,,,,,401,384,418,83,46,37,57,,,,,,,,,,93,49,159,,,,,,,42,32,55,70,5,4,7,,,,,,,,,,,,,,,,,,,,,,11,10,13,17,15,19,10,9,12,419,246,23970,12,7370,4,213,37,32,42,,,,,,,,,,79,52,116,,,,,,,36,31,42,34,33,36,6998,6,5,7,1086,3,2,4,218,458:1,2000,86,4,3,6,,,,,,,,,,,,,0.14,22236,10787,47563,58451,0.81,0.77,0.86,60533,56955,64111,70769,22229,119309,42329,28224,56434,37167,31320,43014,52299,42251,62347,60977,58434,63520,48,60,41,57,6,3,2,4,,,,,,,,,,19,10,32,,,,,,,1,1,2,111,11,9,14,12,,,,,,,,,,,,,,,,,,,,,,52,5,4,7,,,,,,,,,,,,,,,,,,,,,,83,6,5,8,,,,,,,,,,,,,,,,,,,,,,73,90,16500,10,62.7,63.3,120,52748,65,64,66,11450,15,13,16,87,70778,86,88,197117,18.8,20.5,11759,6.0,603,0.3,9839,5.0,157,0.1,10073,5.1,159674,81.0,2769,1,1,2,50.5,49566,24.9
36009,New York,Cattaraugus,75.5,74.9,76.2,81.0,74.1,87.9,66.1,62.3,70.0,,,,,,,,,,,,,75.7,75.0,76.4,1379,462,436,489,,,,976,764,1229,,,,,,,,,,,,,452,425,479,42,55,40,75,,,,,,,,,,,,,,,,,,,,,,25,4,3,6,,,,,,,,,,,,,,,,,,,,,,12,10,14,17,15,19,10,9,12,79,122,9390,12,1940,2,56,25,19,32,,,,,,,,,,,,,,,,,,,,,,35,33,36,3277,8,7,9,573,3,2,4,133,749:1,994,86,8,5,10,,,,,,,,,,,,,0.17,23365,10324,45140,51781,0.87,0.83,0.92,52383,47606,57160,34330,29329,39331,86897,32205,141589,40000,25733,54267,40729,21894,59564,57537,55379,59695,49,50,47,19,4,,,,,,,,,,,,,,,,,,,,,,,,,57,16,12,21,15,,,,,,,,,,,,,,,,,,,,,,34,9,6,12,,,,,,,,,,,,,,,,,,,,,,58,11,8,14,,,,,,,,,,,,,,,,,,,,,,44,24,7800,9,59.1,52.8,34,23220,74,72,75,3374,11,10,12,80,25165,79,81,76439,21.6,21.0,1088,1.4,2926,3.8,645,0.8,33,0.0,1992,2.6,68478,89.6,469,1,0,1,49.7,47619,61.8
36011,New York,Cayuga,78.4,77.7,79.0,,,,,,,,,,72.4,67.2,77.6,,,,,,,78.2,77.6,78.9,1095,358,335,381,,,,,,,,,,536,367,757,,,,,,,363,339,387,30,45,31,65,,,,,,,,,,,,,,,,,,,,,,33,6,4,9,,,,,,,,,,,,,,,,,,,,,,11,10,13,17,15,19,10,8,11,143,218,7870,10,795,1,63,28,21,35,,,,,,,,,,,,,,,,,,,,,,35,33,37,2540,6,5,7,434,3,2,4,112,893:1,778,83,6,3,10,,,,,,,,,,,,,0.09,21220,9088,50601,59639,0.85,0.80,0.90,64129,60526,67732,,,,118500,106367,130633,47576,13978,81174,42321,31713,52929,64713,61134,68292,48,66,39,26,7,,,,,,,,,,,,,,,,,,,,,,,,,51,13,10,18,13,,,,,,,,,,,,,,,,,,,,,,19,5,3,8,,,,,,,,,,,,,,,,,,,,,,53,10,7,13,,,,,,,,,,,,,,,,,,,,,,28,51,7000,11,60.2,60.3,56,21643,70,68,72,3771,13,11,14,85,26355,83,87,74998,19.2,21.6,2683,3.6,384,0.5,560,0.7,64,0.1,2495,3.3,67267,89.7,333,0,0,1,48.9,44815,58.8
36013,New York,Chautauqua,76.7,76.2,77.2,75.1,72.4,77.7,,,,,,,68.6,63.8,73.5,,,,,,,76.9,76.4,77.4,2079,424,404,443,555,453,656,,,,,,,766,569,1010,,,,,,,413,393,434,45,38,28,50,,,,,,,,,,,,,,,,,,,,,,58,6,5,8,,,,,,,,,,,,,,,,,,,,,,12,11,14,17,15,20,11,10,13,248,228,15850,12,7619,6,139,37,31,43,73,46,110,,,,,,,,,,,,,,,,33,27,39,36,34,37,4591,6,5,8,799,3,2,4,121,824:1,1524,84,8,6,11,,,,,,,,,,,,,0.17,23398,9553,45560,54942,0.83,0.78,0.87,55644,51866,59422,32045,1781,62309,50213,19060,81366,30250,23220,37280,28101,23461,32741,57343,55173,59513,55,60,44,38,6,2,1,3,,,,,,,,,,,,,,,,,,,,,,87,13,10,16,14,,,,,,,,,,,,,,,,,,,,,,50,8,6,10,,,,,,,,,,,,,,,,,,,,,,66,7,6,9,,,,,,,,,,,,,,,,,,,,,,106,31,11700,12,59.7,58.8,61,36891,69,68,70,7192,14,13,15,84,44890,83,85,126027,20.0,22.0,2639,2.1,989,0.8,848,0.7,72,0.1,10668,8.5,108700,86.3,1715,1,1,2,50.2,56257,44.1
36015,New York,Chemung,75.5,74.9,76.1,100.8,66.5,135.0,,,,,,,71.1,68.2,73.9,,,,,,,75.5,74.9,76.2,1462,460,435,485,,,,,,,,,,679,550,829,,,,,,,458,431,485,39,50,35,68,,,,,,,,,,,,,,,,,,,,,,41,7,5,9,,,,,,,,,,,,,,,,,,,,,,11,10,13,17,15,20,10,9,11,180,254,9250,11,5493,6,94,38,30,46,,,,,,,,,,108,62,176,,,,,,,35,28,44,35,33,37,2751,6,5,7,474,3,2,3,169,590:1,851,81,12,8,17,,,,,,,,,,,,,0.07,19225,8623,46837,56086,0.84,0.79,0.88,56664,52882,60446,,,,66477,24781,108173,38659,27946,49372,41125,12020,70230,63177,60178,66176,51,57,45,29,6,4,3,6,,,,,,,,,,,,,,,,,,,,,,59,14,10,18,14,,,,,,,,,,,,,,,,,,,,,,32,8,5,11,,,,,,,,,,,,,,,,,,,,,,60,10,8,13,,,,,,,,,,,,,,,,,,,,,,9,31,8000,5,61.2,67.9,81,23801,68,67,70,4772,14,12,16,85,29533,83,86,81426,20.8,20.7,4529,5.6,307,0.4,1290,1.6,35,0.0,2881,3.5,69685,85.6,496,1,0,1,50.3,21800,25.9
