,,,Life Expectancy,,,,,,,,,,,,,,,,,,,,,,,,Premature Age-Adjusted Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Child Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Infant Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Frequent Physical Distress,,,Frequent Mental Distress,,,Diabetes Prevalence,,,HIV Prevalence,,Food Insecurity,,Limited Access to Healthy Foods,,Drug Overdose Deaths,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient Sleep,,,Uninsured Adults,,,,Uninsured Children,,,,Other Primary Care Providers,,High School Graduation,,Disconnected Youth,,,Reading Scores,,,,,,Math Scores,,,,,,School Segregation,School Funding Adequacy,,Gender Pay Gap,,,,,Median Household Income,,,,,,,,,,,,,,,,,,Children Eligible for Free or Reduced Price Lunch,Residential Segregation - Black/White,Child Care Cost Burden,Child Care Centers,,Homicides,,,,,,,,,,,,,,,,,,,,,,,,Suicides,,,,,,,,,,,,,,,,,,,,,,,,,,Firearm Fatalities,,,,,,,,,,,,,,,,,,,,,,,,,Motor Vehicle Crash Deaths,,,,,,,,,,,,,,,,,,,,,,,,,Juvenile Arrests,,,,Voter Turnout,Census Participation,Traffic Volume,Homeownership,,,,Severe Housing Cost Burden,,,,Broadband Access,,,,Population,% Below 18 Years of Age,% 65 and Older,% Non-Hispanic Black,,% American Indian or Alaska Native,,% Asian,,% Native Hawaiian or Other Pacific Islander,,% Hispanic,,% Non-Hispanic White,,% Not Proficient in English,,,,% Female,% Rural,
FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Hispanic (all races)),Life Expectancy (Hispanic (all races)) 95% CI - Low,Life Expectancy (Hispanic (all races)) 95% CI - High,Life Expectancy (Non-Hispanic AIAN),Life Expectancy (Non-Hispanic AIAN) 95% CI - Low,Life Expectancy (Non-Hispanic AIAN) 95% CI - High,Life Expectancy (Non-Hispanic Asian),Life Expectancy (Non-Hispanic Asian) 95% CI - Low,Life Expectancy (Non-Hispanic Asian) 95% CI - High,Life Expectancy (Non-Hispanic Black),Life Expectancy (Non-Hispanic Black) 95% CI - Low,Life Expectancy (Non-Hispanic Black) 95% CI - High,Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander),Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Life Expectancy (Non-Hispanic 2+ races),Life Expectancy (Non-Hispanic 2+ races) 95% CI - Low,Life Expectancy (Non-Hispanic 2+ races) 95% CI - High,Life Expectancy (Non-Hispanic White),Life Expectancy (Non-Hispanic White) 95% CI - Low,Life Expectancy (Non-Hispanic White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Hispanic (all races)),Age-Adjusted Mortality (Hispanic (all races)) 95% CI - Low,Age-Adjusted Mortality (Hispanic (all races)) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic AIAN),Age-Adjusted Mortality (Non-Hispanic AIAN) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic AIAN) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Asian),Age-Adjusted Mortality (Non-Hispanic Asian) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Asian) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Black),Age-Adjusted Mortality (Non-Hispanic Black) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Black) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander),Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic 2+ races),Age-Adjusted Mortality (Non-Hispanic 2+ races) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic 2+ races) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic White),Age-Adjusted Mortality (Non-Hispanic White) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic White) 95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Hispanic (all races)),Child Mortality Rate (Hispanic (all races)) 95% CI - Low,Child Mortality Rate (Hispanic (all races)) 95% CI - High,Child Mortality Rate (Non-Hispanic AIAN),Child Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Child Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Child Mortality Rate (Non-Hispanic Asian),Child Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Child Mortality Rate (Non-Hispanic Asian) 95% CI - High,Child Mortality Rate (Non-Hispanic Black),Child Mortality Rate (Non-Hispanic Black) 95% CI - Low,Child Mortality Rate (Non-Hispanic Black) 95% CI - High,Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Child Mortality Rate (Non-Hispanic 2+ races),Child Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Child Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Child Mortality Rate (Non-Hispanic White),Child Mortality Rate (Non-Hispanic White) 95% CI - Low,Child Mortality Rate (Non-Hispanic White) 95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Hispanic (all races)),Infant Mortality Rate (Hispanic (all races)) 95% CI - Low,Infant Mortality Rate (Hispanic (all races)) 95% CI - High,Infant Mortality Rate (Non-Hispanic AIAN),Infant Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Infant Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Infant Mortality Rate (Non-Hispanic Asian),Infant Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Asian) 95% CI - High,Infant Mortality Rate (Non-Hispanic Black),Infant Mortality Rate (Non-Hispanic Black) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Black) 95% CI - High,Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Infant Mortality Rate (Non-Hispanic 2+ races),Infant Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Infant Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Infant Mortality Rate (Non-Hispanic White),Infant Mortality Rate (Non-Hispanic White) 95% CI - Low,Infant Mortality Rate (Non-Hispanic White) 95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Adults with Diabetes,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access to Healthy Foods,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low,95% CI - High,Drug Overdose Mortality Rate (Hispanic (all races)),Drug Overdose Mortality Rate (Hispanic (all races)) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic (all races)) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic AIAN),Drug Overdose Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Asian),Drug Overdose Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Asian) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Black),Drug Overdose Mortality Rate (Non-Hispanic Black) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Black) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic 2+ races),Drug Overdose Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic White),Drug Overdose Mortality Rate (Non-Hispanic White) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic White) 95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured Adults,% Uninsured Adults,95% CI - Low,95% CI - High,# Uninsured Children,% Uninsured Children,95% CI - Low,95% CI - High,Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low,95% CI - High,Average Grade Performance,Average Grade Performance (AIAN),Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (White),Average Grade Performance,Average Grade Performance (AIAN),Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (White),Segregation Index,Spending per Pupil,School Funding Adequacy,Women's Median Earnings,Men's Median Earnings,Gender Pay Gap,95% CI - Low,95% CI - High,Median Household Income,95% CI - Low,95% CI - High,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation Index,% Household Income Required for Child Care Expenses,# Child Care Centers,"Child Care Centers per 1,000 Children",Homicide Rate,95% CI - Low,95% CI - High,Homicide Rate (Hispanic (all races)),Homicide Rate (Hispanic (all races)) 95% CI - Low,Homicide Rate (Hispanic (all races)) 95% CI - High,Homicide Rate (Non-Hispanic AIAN),Homicide Rate (Non-Hispanic AIAN) 95% CI - Low,Homicide Rate (Non-Hispanic AIAN) 95% CI - High,Homicide Rate (Non-Hispanic Asian),Homicide Rate (Non-Hispanic Asian) 95% CI - Low,Homicide Rate (Non-Hispanic Asian) 95% CI - High,Homicide Rate (Non-Hispanic Black),Homicide Rate (Non-Hispanic Black) 95% CI - Low,Homicide Rate (Non-Hispanic Black) 95% CI - High,Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Homicide Rate (Non-Hispanic 2+ races),Homicide Rate (Non-Hispanic 2+ races) 95% CI - Low,Homicide Rate (Non-Hispanic 2+ races) 95% CI - High,Homicide Rate (Non-Hispanic White),Homicide Rate (Non-Hispanic White) 95% CI - Low,Homicide Rate (Non-Hispanic White) 95% CI - High,# Deaths,Suicide Rate (Age-Adjusted),95% CI - Low,95% CI - High,Crude Rate,Suicide Rate (Hispanic (all races)),Suicide Rate (Hispanic (all races)) 95% CI - Low,Suicide Rate (Hispanic (all races)) 95% CI - High,Suicide Rate (Non-Hispanic AIAN),Suicide Rate (Non-Hispanic AIAN) 95% CI - Low,Suicide Rate (Non-Hispanic AIAN) 95% CI - High,Suicide Rate (Non-Hispanic Asian),Suicide Rate (Non-Hispanic Asian) 95% CI - Low,Suicide Rate (Non-Hispanic Asian) 95% CI - High,Suicide Rate (Non-Hispanic Black),Suicide Rate (Non-Hispanic Black) 95% CI - Low,Suicide Rate (Non-Hispanic Black) 95% CI - High,Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Suicide Rate (Non-Hispanic 2+ races),Suicide Rate (Non-Hispanic 2+ races) 95% CI - Low,Suicide Rate (Non-Hispanic 2+ races) 95% CI - High,Suicide Rate (Non-Hispanic White),Suicide Rate (Non-Hispanic White) 95% CI - Low,Suicide Rate (Non-Hispanic White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Firearm Fatalities Rate (Hispanic (all races)),Firearm Fatalities Rate (Hispanic (all races)) 95% CI - Low,Firearm Fatalities Rate (Hispanic (all races)) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic AIAN),Firearm Fatalities Rate (Non-Hispanic AIAN) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic AIAN) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Asian),Firearm Fatalities Rate (Non-Hispanic Asian) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Asian) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Black),Firearm Fatalities Rate (Non-Hispanic Black) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Black) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic 2+ races),Firearm Fatalities Rate (Non-Hispanic 2+ races) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic 2+ races) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic White),Firearm Fatalities Rate (Non-Hispanic White) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low,95% CI - High,MV Mortality Rate (Hispanic (all races)),MV Mortality Rate (Hispanic (all races)) 95% CI - Low,MV Mortality Rate (Hispanic (all races)) 95% CI - High,MV Mortality Rate (Non-Hispanic AIAN),MV Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,MV Mortality Rate (Non-Hispanic AIAN) 95% CI - High,MV Mortality Rate (Non-Hispanic Asian),MV Mortality Rate (Non-Hispanic Asian) 95% CI - Low,MV Mortality Rate (Non-Hispanic Asian) 95% CI - High,MV Mortality Rate (Non-Hispanic Black),MV Mortality Rate (Non-Hispanic Black) 95% CI - Low,MV Mortality Rate (Non-Hispanic Black) 95% CI - High,MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,MV Mortality Rate (Non-Hispanic 2+ races),MV Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,MV Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,MV Mortality Rate (Non-Hispanic White),MV Mortality Rate (Non-Hispanic White) 95% CI - Low,MV Mortality Rate (Non-Hispanic White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,% Voter Turnout,% Census Participation,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Households with Severe Cost Burden,95% CI - Low,95% CI - High,% Households with Broadband Access,# Households with Broadband Access,95% CI - Low,95% CI - High,Population,% Less than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian or Alaska Native,% American Indian or Alaska Native,# Asian,% Asian,# Native Hawaiian or Other Pacific Islander,% Native Hawaiian or Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural Residents,% Rural
37000,North Carolina,,76.6,76.5,76.6,,,,,,,,,,,,,,,,,,,,,,158682,421,419,423,,,,,,,,,,,,,,,,,,,,,,6095,59,57,60,,,,,,,,,,,,,,,,,,,,,,5820,7,7,7,,,,,,,,,,,,,,,,,,,,,,11,10,12,14,13,16,11,10,12,34327,384,1248880,12,715223,8,9393,30,29,30,,,,,,,,,,,,,,,,,,,,,,32,30,33,938950,15,15,15,129994,5,5,6,162,616:1,120415,87,7,7,8,3.1,,,,,,3.1,,,,,,0.20,10655,-4742,46689,55941,0.83,0.83,0.84,67516,66781,68251,,,,,,,,,,,,,,,,51,52,27,,9,7,7,7,,,,,,,,,,,,,,,,,,,,,,7259,13,13,14,14,,,,,,,,,,,,,,,,,,,,,,7781,15,15,15,,,,,,,,,,,,,,,,,,,,,,11058,15,15,16,,,,,,,,,,,,,,,,,,,,,,5704,6990,800600,16,72.3,,74,2717961,66,66,67,498588,13,12,13,87,3570387,87,87,10698973,21.4,17.4,2267145,21.2,166226,1.6,383271,3.6,15878,0.1,1122009,10.5,6584019,61.5,227066,2,2,2,51.0,3474661,33.3
37001,North Carolina,Alamance,76.0,75.5,76.4,84.1,81.1,87.1,,,,85.6,81.1,90.1,71.7,70.7,72.6,,,,,,,76.3,75.7,76.8,2766,451,433,468,228,181,284,,,,,,,636,590,682,,,,,,,437,416,459,87,49,39,61,,,,,,,,,,89,61,125,,,,,,,50,36,66,89,7,5,8,,,,,,,,,,12,8,16,,,,,,,6,4,8,11,10,13,17,15,19,11,9,13,505,344,19330,11,16794,11,143,28,23,32,15,7,27,,,,,,,30,21,43,,,,,,,31,25,37,32,31,33,17344,17,15,19,2203,6,4,7,101,991:1,1961,88,6,4,9,3.0,,3.4,2.7,2.7,3.3,2.8,,3.4,2.4,2.7,3.1,0.12,10280,-4885,44361,52966,0.84,0.79,0.88,61034,56392,65676,56154,22473,89835,100938,65887,135989,44458,37028,51888,56833,48964,64702,68378,65800,70956,48,41,29,63,6,7,6,9,,,,,,,,,,19,14,26,,,,,,,4,3,6,116,13,11,16,14,,,,,,,,,,9,5,15,,,,,,,16,13,20,123,15,12,17,,,,,,,,,,24,17,33,,,,,,,14,11,18,159,14,12,16,9,5,15,,,,,,,19,13,25,,,,,,,14,11,17,114,119,12900,18,71.3,63.7,80,44487,66,65,67,7357,11,10,13,86,57967,85,87,176353,21.8,17.4,37647,21.3,2661,1.5,3596,2.0,205,0.1,25032,14.2,105881,60.0,4582,3,2,3,52.1,45330,26.4
37003,North Carolina,Alexander,74.6,73.7,75.5,90.4,73.3,107.5,,,,,,,75.3,72.0,78.7,,,,,,,74.2,73.2,75.3,715,493,455,532,,,,,,,,,,537,382,734,,,,,,,504,462,546,22,68,43,103,,,,,,,,,,,,,,,,,,,,,,20,8,5,12,,,,,,,,,,,,,,,,,,,,,,12,10,13,17,15,19,10,8,11,44,139,4240,12,2825,8,16,14,8,23,,,,,,,,,,,,,,,,,,,,,,33,32,35,3231,16,13,18,395,5,4,7,44,2282:1,375,87,,,,3.1,,,2.8,2.5,3.3,3.1,,,2.8,2.7,3.2,0.04,11228,-243,41875,49147,0.85,0.75,0.95,67717,63805,71629,,,,,,,47429,22274,72584,65811,34097,97525,63203,57176,69230,38,71,21,20,13,5,3,9,,,,,,,,,,,,,,,,,,,,,,34,19,13,26,18,,,,,,,,,,,,,,,,,,,,,,35,19,13,26,,,,,,,,,,,,,,,,,,,,,,51,20,15,26,,,,,,,,,,,,,,,,,,,,,,23,26,2700,18,69.7,66.3,9,11180,81,78,84,934,7,5,9,84,11499,80,87,36512,19.6,20.9,2025,5.5,222,0.6,445,1.2,25,0.1,2001,5.5,31313,85.8,175,1,0,1,48.5,32466,89.1
37005,North Carolina,Alleghany,77.2,75.5,79.0,,,,,,,,,,,,,,,,,,,,,,226,430,365,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,16,18,16,21,12,10,14,7,72,1720,16,222,2,,,,,,,,,,,,,,,,,,,,,,,,,,33,31,35,1297,22,19,24,162,8,6,11,54,1864:1,105,88,,,,3.0,,,,,,3.3,,,,,,0.03,13179,-4632,38951,47891,0.81,0.70,0.93,49524,42550,56498,,,,,,,46500,45776,47224,38125,25244,51006,45034,37802,52266,54,36,25,7,15,,,,,,,,,,,,,,,,,,,,,,,,,16,31,16,52,29,,,,,,,,,,,,,,,,,,,,,,12,22,11,38,,,,,,,,,,,,,,,,,,,,,,18,23,14,37,,,,,,,,,,,,,,,,,,,,,,5,1-4,700,,68.4,44.8,1,3975,81,76,85,552,12,8,16,79,3912,75,84,11185,16.4,28.9,180,1.6,81,0.7,89,0.8,5,0.0,1125,10.1,9646,86.2,160,2,0,3,50.6,10888,100.0
37007,North Carolina,Anson,71.8,70.6,73.0,,,,,,,,,,71.0,69.2,72.7,,,,,,,72.1,70.2,73.9,587,656,600,712,,,,,,,,,,751,664,837,,,,,,,614,532,696,18,86,51,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,16,18,15,20,14,12,16,70,369,2800,13,1247,5,18,25,15,40,,,,,,,,,,,,,,,,,,,,,,39,38,40,1907,16,14,18,216,5,3,6,36,2775:1,271,88,,,,2.8,,,2.5,,3.2,2.6,,,2.3,,3.0,0.06,12140,-14624,35255,38959,0.90,0.75,1.06,48284,41641,54927,,,,60762,46519,75005,34227,29224,39230,38382,13477,63287,46456,36559,56353,99,25,30,13,12,23,16,31,,,,,,,,,,,,,,,,,,,,,,20,15,9,24,17,,,,,,,,,,,,,,,,,,,,,,37,31,22,42,,,,,,,,,,45,29,66,,,,,,,21,10,37,43,25,18,34,,,,,,,,,,23,14,36,,,,,,,27,17,42,40,21,1700,36,58.3,51.3,32,5572,67,64,70,1271,17,13,21,83,6894,79,88,22202,19.6,20.1,10422,46.9,221,1.0,360,1.6,20,0.1,1161,5.2,9752,43.9,134,1,0,1,48.3,17152,77.8
37009,North Carolina,Ashe,76.3,75.2,77.4,,,,,,,,,,,,,,,,,,,,,,555,456,413,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,14,17,15,20,10,8,11,16,68,3480,13,2887,11,11,14,7,24,,,,,,,,,,,,,,,,,,,,,,31,29,32,2426,16,14,19,268,6,4,7,114,875:1,216,85,,,,3.2,,,,2.7,3.3,3.2,,,,2.9,3.2,0.02,12012,348,39343,41658,0.94,0.75,1.14,54379,47715,61043,,,,,,,59097,57256,60938,36295,26570,46020,49461,45110,53812,50,76,26,6,6,,,,,,,,,,,,,,,,,,,,,,,,,37,27,18,38,27,,,,,,,,,,,,,,,,,,,,,,28,21,14,30,,,,,,,,,,,,,,,,,,,,,,32,17,12,24,,,,,,,,,,,,,,,,,,,,,,10,15,1800,14,72.9,51.9,1,9431,80,78,81,861,8,5,10,79,9382,76,83,27110,16.6,27.5,214,0.8,159,0.6,141,0.5,19,0.1,1534,5.7,24820,91.6,247,1,0,2,50.2,26577,100.0
37011,North Carolina,Avery,75.9,74.6,77.2,,,,,,,,,,,,,,,,,,,,,,313,426,375,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,14,17,14,19,10,8,12,36,224,2320,13,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,31,29,33,1633,18,15,21,172,7,4,9,68,1464:1,163,92,,,,3.0,,,,,,2.8,,,,,,0.08,13414,-1905,41020,39439,1.04,0.83,1.25,53894,46266,61522,,,,181218,181039,181397,,,,41544,35259,47829,54306,49856,58756,49,,30,11,18,,,,,,,,,,,,,,,,,,,,,,,,,16,18,10,29,18,,,,,,,,,,,,,,,,,,,,,,16,18,10,30,,,,,,,,,,,,,,,,,,,,,,22,18,11,27,,,,,,,,,,,,,,,,,,,,,,19,9,900,31,64.7,34.3,5,5091,79,76,81,473,8,5,10,81,5255,79,84,17571,14.2,23.7,707,4.0,129,0.7,130,0.7,16,0.1,935,5.3,15527,88.4,148,1,0,2,45.8,17806,100.0
37013,North Carolina,Beaufort,75.1,74.1,76.0,80.5,72.9,88.1,,,,,,,72.0,70.2,73.9,,,,,,,75.3,74.1,76.5,932,483,448,518,296,178,462,,,,,,,626,545,707,,,,,,,466,422,509,30,74,50,106,,,,,,,,,,92,44,169,,,,,,,80,47,128,33,11,7,15,,,,,,,,,,,,,,,,,,,,,,12,11,14,17,15,20,12,10,13,115,299,5950,13,4389,9,46,33,24,44,,,,,,,,,,,,,,,,,,,,,,35,33,36,4028,16,14,19,536,6,4,8,102,984:1,513,86,,,,3.2,,,2.9,2.9,3.5,3.2,,,2.8,3.2,3.5,0.09,11796,-9039,39899,51355,0.78,0.68,0.87,54415,47952,60878,,,,90500,45633,135367,33463,27948,38978,32363,18975,45751,66816,62117,71515,96,39,31,18,8,8,5,12,,,,,,,,,,21,13,34,,,,,,,5,2,9,43,19,13,26,18,,,,,,,,,,,,,,,,,,,,,,48,21,15,27,,,,,,,,,,23,12,40,,,,,,,23,16,32,60,18,14,24,,,,,,,,,,23,13,36,,,,,,,18,13,25,44,54,3300,30,71.9,56.1,34,13428,71,69,73,2383,13,10,16,81,15377,79,83,44272,19.3,25.5,10144,22.9,515,1.2,274,0.6,40,0.1,3765,8.5,29303,66.2,422,1,0,2,51.6,28143,63.0
37015,North Carolina,Bertie,73.5,71.9,75.0,,,,,,,,,,71.3,69.3,73.4,,,,,,,76.4,74.1,78.6,408,561,500,622,,,,,,,,,,654,569,740,,,,,,,441,352,531,14,98,54,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,16,18,16,21,16,13,18,74,478,2550,14,5211,24,18,33,19,52,,,,,,,,,,,,,,,,,,,,,,41,40,43,1228,14,12,16,137,5,3,6,70,1437:1,166,83,,,,2.6,,,2.5,,3.1,2.6,,,2.5,,3.0,0.03,14072,-20171,41329,39630,1.04,0.85,1.24,44434,38015,50853,,,,,,,32522,25499,39545,19167,2982,35352,63942,39750,88134,99,35,37,11,14,15,9,23,,,,,,,,,,,,,,,,,,,,,,10,10,5,20,11,,,,,,,,,,,,,,,,,,,,,,17,18,11,29,,,,,,,,,,,,,,,,,,,,,,41,31,22,42,,,,,,,,,,37,25,53,,,,,,,24,12,43,1-4,1-4,1200,,62.4,51.6,4,5233,75,70,80,1269,19,14,25,64,4449,58,69,17240,16.8,25.2,10330,59.9,154,0.9,139,0.8,17,0.1,453,2.6,5974,34.7,4,0,0,1,48.6,17934,100.0
