,,,Life Expectancy,,,,,,,,,,,,,,,,,,,,,,,,Premature Age-Adjusted Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Child Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Infant Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Frequent Physical Distress,,,Frequent Mental Distress,,,Diabetes Prevalence,,,HIV Prevalence,,Food Insecurity,,Limited Access to Healthy Foods,,Drug Overdose Deaths,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient Sleep,,,Uninsured Adults,,,,Uninsured Children,,,,Other Primary Care Providers,,High School Graduation,,Disconnected Youth,,,Reading Scores,,,,,,Math Scores,,,,,,School Segregation,School Funding Adequacy,,Gender Pay Gap,,,,,Median Household Income,,,,,,,,,,,,,,,,,,Children Eligible for Free or Reduced Price Lunch,Residential Segregation - Black/White,Child Care Cost Burden,Child Care Centers,,Homicides,,,,,,,,,,,,,,,,,,,,,,,,Suicides,,,,,,,,,,,,,,,,,,,,,,,,,,Firearm Fatalities,,,,,,,,,,,,,,,,,,,,,,,,,Motor Vehicle Crash Deaths,,,,,,,,,,,,,,,,,,,,,,,,,Juvenile Arrests,,,,Voter Turnout,Census Participation,Traffic Volume,Homeownership,,,,Severe Housing Cost Burden,,,,Broadband Access,,,,Population,% Below 18 Years of Age,% 65 and Older,% Non-Hispanic Black,,% American Indian or Alaska Native,,% Asian,,% Native Hawaiian or Other Pacific Islander,,% Hispanic,,% Non-Hispanic White,,% Not Proficient in English,,,,% Female,% Rural,
FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Hispanic (all races)),Life Expectancy (Hispanic (all races)) 95% CI - Low,Life Expectancy (Hispanic (all races)) 95% CI - High,Life Expectancy (Non-Hispanic AIAN),Life Expectancy (Non-Hispanic AIAN) 95% CI - Low,Life Expectancy (Non-Hispanic AIAN) 95% CI - High,Life Expectancy (Non-Hispanic Asian),Life Expectancy (Non-Hispanic Asian) 95% CI - Low,Life Expectancy (Non-Hispanic Asian) 95% CI - High,Life Expectancy (Non-Hispanic Black),Life Expectancy (Non-Hispanic Black) 95% CI - Low,Life Expectancy (Non-Hispanic Black) 95% CI - High,Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander),Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Life Expectancy (Non-Hispanic 2+ races),Life Expectancy (Non-Hispanic 2+ races) 95% CI - Low,Life Expectancy (Non-Hispanic 2+ races) 95% CI - High,Life Expectancy (Non-Hispanic White),Life Expectancy (Non-Hispanic White) 95% CI - Low,Life Expectancy (Non-Hispanic White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Hispanic (all races)),Age-Adjusted Mortality (Hispanic (all races)) 95% CI - Low,Age-Adjusted Mortality (Hispanic (all races)) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic AIAN),Age-Adjusted Mortality (Non-Hispanic AIAN) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic AIAN) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Asian),Age-Adjusted Mortality (Non-Hispanic Asian) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Asian) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Black),Age-Adjusted Mortality (Non-Hispanic Black) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Black) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander),Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic 2+ races),Age-Adjusted Mortality (Non-Hispanic 2+ races) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic 2+ races) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic White),Age-Adjusted Mortality (Non-Hispanic White) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic White) 95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Hispanic (all races)),Child Mortality Rate (Hispanic (all races)) 95% CI - Low,Child Mortality Rate (Hispanic (all races)) 95% CI - High,Child Mortality Rate (Non-Hispanic AIAN),Child Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Child Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Child Mortality Rate (Non-Hispanic Asian),Child Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Child Mortality Rate (Non-Hispanic Asian) 95% CI - High,Child Mortality Rate (Non-Hispanic Black),Child Mortality Rate (Non-Hispanic Black) 95% CI - Low,Child Mortality Rate (Non-Hispanic Black) 95% CI - High,Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Child Mortality Rate (Non-Hispanic 2+ races),Child Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Child Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Child Mortality Rate (Non-Hispanic White),Child Mortality Rate (Non-Hispanic White) 95% CI - Low,Child Mortality Rate (Non-Hispanic White) 95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Hispanic (all races)),Infant Mortality Rate (Hispanic (all races)) 95% CI - Low,Infant Mortality Rate (Hispanic (all races)) 95% CI - High,Infant Mortality Rate (Non-Hispanic AIAN),Infant Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Infant Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Infant Mortality Rate (Non-Hispanic Asian),Infant Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Asian) 95% CI - High,Infant Mortality Rate (Non-Hispanic Black),Infant Mortality Rate (Non-Hispanic Black) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Black) 95% CI - High,Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Infant Mortality Rate (Non-Hispanic 2+ races),Infant Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Infant Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Infant Mortality Rate (Non-Hispanic White),Infant Mortality Rate (Non-Hispanic White) 95% CI - Low,Infant Mortality Rate (Non-Hispanic White) 95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Adults with Diabetes,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access to Healthy Foods,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low,95% CI - High,Drug Overdose Mortality Rate (Hispanic (all races)),Drug Overdose Mortality Rate (Hispanic (all races)) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic (all races)) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic AIAN),Drug Overdose Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Asian),Drug Overdose Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Asian) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Black),Drug Overdose Mortality Rate (Non-Hispanic Black) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Black) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic 2+ races),Drug Overdose Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic White),Drug Overdose Mortality Rate (Non-Hispanic White) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic White) 95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured Adults,% Uninsured Adults,95% CI - Low,95% CI - High,# Uninsured Children,% Uninsured Children,95% CI - Low,95% CI - High,Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low,95% CI - High,Average Grade Performance,Average Grade Performance (AIAN),Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (White),Average Grade Performance,Average Grade Performance (AIAN),Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (White),Segregation Index,Spending per Pupil,School Funding Adequacy,Women's Median Earnings,Men's Median Earnings,Gender Pay Gap,95% CI - Low,95% CI - High,Median Household Income,95% CI - Low,95% CI - High,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation Index,% Household Income Required for Child Care Expenses,# Child Care Centers,"Child Care Centers per 1,000 Children",Homicide Rate,95% CI - Low,95% CI - High,Homicide Rate (Hispanic (all races)),Homicide Rate (Hispanic (all races)) 95% CI - Low,Homicide Rate (Hispanic (all races)) 95% CI - High,Homicide Rate (Non-Hispanic AIAN),Homicide Rate (Non-Hispanic AIAN) 95% CI - Low,Homicide Rate (Non-Hispanic AIAN) 95% CI - High,Homicide Rate (Non-Hispanic Asian),Homicide Rate (Non-Hispanic Asian) 95% CI - Low,Homicide Rate (Non-Hispanic Asian) 95% CI - High,Homicide Rate (Non-Hispanic Black),Homicide Rate (Non-Hispanic Black) 95% CI - Low,Homicide Rate (Non-Hispanic Black) 95% CI - High,Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Homicide Rate (Non-Hispanic 2+ races),Homicide Rate (Non-Hispanic 2+ races) 95% CI - Low,Homicide Rate (Non-Hispanic 2+ races) 95% CI - High,Homicide Rate (Non-Hispanic White),Homicide Rate (Non-Hispanic White) 95% CI - Low,Homicide Rate (Non-Hispanic White) 95% CI - High,# Deaths,Suicide Rate (Age-Adjusted),95% CI - Low,95% CI - High,Crude Rate,Suicide Rate (Hispanic (all races)),Suicide Rate (Hispanic (all races)) 95% CI - Low,Suicide Rate (Hispanic (all races)) 95% CI - High,Suicide Rate (Non-Hispanic AIAN),Suicide Rate (Non-Hispanic AIAN) 95% CI - Low,Suicide Rate (Non-Hispanic AIAN) 95% CI - High,Suicide Rate (Non-Hispanic Asian),Suicide Rate (Non-Hispanic Asian) 95% CI - Low,Suicide Rate (Non-Hispanic Asian) 95% CI - High,Suicide Rate (Non-Hispanic Black),Suicide Rate (Non-Hispanic Black) 95% CI - Low,Suicide Rate (Non-Hispanic Black) 95% CI - High,Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Suicide Rate (Non-Hispanic 2+ races),Suicide Rate (Non-Hispanic 2+ races) 95% CI - Low,Suicide Rate (Non-Hispanic 2+ races) 95% CI - High,Suicide Rate (Non-Hispanic White),Suicide Rate (Non-Hispanic White) 95% CI - Low,Suicide Rate (Non-Hispanic White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Firearm Fatalities Rate (Hispanic (all races)),Firearm Fatalities Rate (Hispanic (all races)) 95% CI - Low,Firearm Fatalities Rate (Hispanic (all races)) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic AIAN),Firearm Fatalities Rate (Non-Hispanic AIAN) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic AIAN) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Asian),Firearm Fatalities Rate (Non-Hispanic Asian) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Asian) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Black),Firearm Fatalities Rate (Non-Hispanic Black) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Black) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic 2+ races),Firearm Fatalities Rate (Non-Hispanic 2+ races) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic 2+ races) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic White),Firearm Fatalities Rate (Non-Hispanic White) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low,95% CI - High,MV Mortality Rate (Hispanic (all races)),MV Mortality Rate (Hispanic (all races)) 95% CI - Low,MV Mortality Rate (Hispanic (all races)) 95% CI - High,MV Mortality Rate (Non-Hispanic AIAN),MV Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,MV Mortality Rate (Non-Hispanic AIAN) 95% CI - High,MV Mortality Rate (Non-Hispanic Asian),MV Mortality Rate (Non-Hispanic Asian) 95% CI - Low,MV Mortality Rate (Non-Hispanic Asian) 95% CI - High,MV Mortality Rate (Non-Hispanic Black),MV Mortality Rate (Non-Hispanic Black) 95% CI - Low,MV Mortality Rate (Non-Hispanic Black) 95% CI - High,MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,MV Mortality Rate (Non-Hispanic 2+ races),MV Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,MV Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,MV Mortality Rate (Non-Hispanic White),MV Mortality Rate (Non-Hispanic White) 95% CI - Low,MV Mortality Rate (Non-Hispanic White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,% Voter Turnout,% Census Participation,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Households with Severe Cost Burden,95% CI - Low,95% CI - High,% Households with Broadband Access,# Households with Broadband Access,95% CI - Low,95% CI - High,Population,% Less than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian or Alaska Native,% American Indian or Alaska Native,# Asian,% Asian,# Native Hawaiian or Other Pacific Islander,% Native Hawaiian or Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural Residents,% Rural
48000,Texas,,77.2,77.1,77.2,,,,,,,,,,,,,,,,,,,,,,373903,403,402,405,,,,,,,,,,,,,,,,,,,,,,16809,51,50,52,,,,,,,,,,,,,,,,,,,,,,14943,6,5,6,,,,,,,,,,,,,,,,,,,,,,10,9,11,14,13,15,11,10,12,100700,415,4057910,14,2099608,8,12292,14,14,14,,,,,,,,,,,,,,,,,,,,,,33,32,35,4266108,24,24,24,898128,12,11,12,109,917:1,385949,90,8,8,9,2.9,,,,,,3.1,,,,,,0.26,10893,-7899,47503,59324,0.80,0.79,0.81,72279,71755,72803,,,,,,,,,,,,,,,,61,55,26,,5,6,6,6,,,,,,,,,,,,,,,,,,,,,,19694,14,13,14,14,,,,,,,,,,,,,,,,,,,,,,19478,13,13,14,,,,,,,,,,,,,,,,,,,,,,27018,13,13,14,,,,,,,,,,,,,,,,,,,,,,15009,14963,2962200,10,60.9,,135,6545727,62,62,63,1433704,14,14,14,88,9274077,88,89,30029572,24.8,13.4,3741618,12.5,322443,1.1,1716675,5.7,48656,0.2,12068549,40.2,11939611,39.8,1831380,7,7,7,50.0,4744808,16.3
48001,Texas,Anderson,72.0,71.3,72.7,70.9,68.8,73.0,,,,,,,70.7,69.2,72.2,,,,,,,71.8,70.9,72.8,1279,633,598,668,737,613,862,,,,,,,742,647,837,,,,,,,624,580,668,25,51,33,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,15,18,15,20,13,11,15,297,586,8130,14,9259,16,36,21,14,29,,,,,,,,,,,,,,,,,,,,,,37,36,38,6197,24,21,27,1065,9,7,12,83,1210:1,519,97,,,,2.8,,,2.3,2.7,3.1,2.9,,,2.2,2.7,3.2,0.12,12826,-3729,35197,51384,0.68,0.55,0.82,60800,54766,66834,180780,91464,270096,107572,75320,139824,35388,24081,46695,50093,32166,68020,59943,51255,68631,66,50,23,9,3,7,5,11,,,,,,,,,,12,6,22,,,,,,,6,4,10,101,33,26,39,35,36,22,56,,,,,,,17,9,29,,,,,,,37,28,48,36,12,9,17,,,,,,,,,,,,,,,,,,,,,,79,20,15,24,,,,,,,,,,14,7,25,,,,,,,24,18,31,7,9,4300,4,42.9,51.7,26,11602,69,66,72,1772,11,8,15,82,13810,79,85,58064,18.9,15.5,12226,21.1,475,0.8,586,1.0,136,0.2,10923,18.8,33258,57.3,1086,2,1,3,39.0,39307,67.9
48003,Texas,Andrews,75.1,73.7,76.4,76.1,73.9,78.2,,,,,,,,,,,,,,,,74.2,72.3,76.1,249,498,436,561,466,376,556,,,,,,,,,,,,,,,,541,446,636,17,68,39,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,15,17,15,20,13,11,14,16,112,2270,13,1213,8,,,,,,,,,,,,,,,,,,,,,,,,,,34,33,36,3050,28,25,31,1024,17,13,21,82,1222:1,295,93,,,,2.9,,,,2.8,3.1,2.9,,,,2.7,3.2,0.00,11274,544,45462,70610,0.64,0.49,0.80,68998,60090,77906,,,,,,,,,,71976,51152,92800,100338,71533,129143,49,77,24,4,3,,,,,,,,,,,,,,,,,,,,,,,,,14,16,9,26,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,34,25,46,33,21,49,,,,,,,,,,,,,,,,37,23,59,27,31,2300,25,52.7,53.6,44,4789,73,66,79,717,12,6,17,91,5988,86,95,18334,31.0,10.1,251,1.4,296,1.6,134,0.7,5,0.0,10876,59.3,6802,37.1,1389,8,6,11,48.9,3409,18.3
48005,Texas,Angelina,73.4,72.7,74.0,78.1,76.0,80.1,,,,,,,68.0,66.4,69.5,,,,,,,73.5,72.8,74.3,1727,583,554,611,430,369,492,,,,,,,845,754,936,,,,,,,577,542,612,60,62,47,80,41,22,71,,,,,,,110,64,177,,,,,,,64,43,91,53,7,5,9,,,,,,,,,,,,,,,,,,,,,,14,12,16,19,17,22,14,12,15,185,260,14370,17,8469,10,45,17,13,23,,,,,,,,,,,,,,,,,,,,,,37,36,38,12899,27,24,30,2995,13,10,17,118,846:1,1137,93,17,10,23,2.8,,,2.5,2.6,3.1,2.9,,,2.5,2.8,3.2,0.13,11981,-7036,39603,49632,0.80,0.70,0.90,56825,51327,62323,61694,36629,86759,,,,37113,30642,43584,59261,55018,63504,62830,57534,68126,71,44,24,37,6,7,5,9,,,,,,,,,,23,14,35,,,,,,,4,2,7,68,16,12,20,16,13,6,23,,,,,,,,,,,,,,,,20,15,26,70,16,13,20,,,,,,,,,,25,14,40,,,,,,,17,12,23,111,18,15,22,15,9,23,,,,,,,23,14,35,,,,,,,19,15,24,88,40,9000,14,57.2,54.8,52,20380,65,62,67,3597,12,10,14,88,27928,87,90,87101,25.2,16.9,12971,14.9,679,0.8,1041,1.2,58,0.1,20485,23.5,51308,58.9,2940,4,3,4,50.9,44844,51.9
48007,Texas,Aransas,73.0,71.7,74.3,74.9,72.3,77.4,,,,,,,,,,,,,,,,71.8,70.0,73.6,661,644,587,701,570,466,674,,,,,,,,,,,,,,,,687,613,761,13,69,37,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,15,18,16,20,12,10,14,36,169,4320,18,3754,16,13,18,10,31,,,,,,,,,,,,,,,,,,,,,,36,34,37,3400,26,23,29,718,15,11,20,52,1919:1,200,88,,,,2.7,,,,2.4,2.9,2.9,,,,2.7,3.0,0.00,11327,-2758,38430,58896,0.65,0.42,0.88,60523,52831,68215,,,,45536,22412,68660,,,,38846,20504,57188,65090,58160,72020,67,88,28,4,4,,,,,,,,,,,,,,,,,,,,,,,,,48,36,26,50,40,,,,,,,,,,,,,,,,,,,,,,48,40,29,53,,,,,,,,,,,,,,,,,,,,,,29,17,11,24,,,,,,,,,,,,,,,,,,,,,,16,1-4,1700,,65.8,38.7,41,9020,79,75,83,1364,13,9,16,89,10204,86,92,24944,18.2,27.8,361,1.4,347,1.4,484,1.9,29,0.1,7413,29.7,16209,65.0,171,1,0,2,50.3,5618,23.6
48009,Texas,Archer,78.0,76.2,79.9,,,,,,,,,,,,,,,,,,,,,,128,374,304,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,13,18,15,20,9,8,11,,,1170,14,446,5,,,,,,,,,,,,,,,,,,,,,,,,,,34,33,36,1033,21,18,24,297,15,11,18,11,8835:1,138,93,,,,3.2,,,,2.9,3.3,3.4,,,,3.3,3.4,0.05,11492,-191,42428,65417,0.65,0.55,0.74,72062,62175,81949,,,,,,,,,,63438,46256,80620,72944,61111,84777,30,,19,5,11,,,,,,,,,,,,,,,,,,,,,,,,,11,23,11,42,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,25,14,41,,,,,,,,,,,,,,,,,,,,,,1-4,0,800,,72.2,56.9,3,2836,84,81,88,347,11,7,15,83,2802,80,87,8835,22.3,21.2,94,1.1,153,1.7,63,0.7,5,0.1,830,9.4,7615,86.2,102,1,0,2,49.9,7478,87.4
48011,Texas,Armstrong,72.1,67.3,76.8,,,,,,,,,,,,,,,,,,,,,,40,531,363,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,12,16,14,19,8,7,10,,,180,9,406,21,,,,,,,,,,,,,,,,,,,,,,,,,,34,32,35,183,18,16,21,57,13,9,17,0,1850:0,,,,,,2.8,,,,,,3.1,,,,,,,11940,522,53807,62632,0.86,0.62,1.10,67548,57618,77478,41389,12461,70317,,,,,,,,,,71917,54608,89226,36,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,200,0,75.6,54.9,52,634,87,82,93,55,8,0,18,88,641,79,98,1850,22.5,22.2,22,1.2,34,1.8,7,0.4,1,0.1,213,11.5,1558,84.2,17,1,0,5,49.8,1848,100.0
48013,Texas,Atascosa,75.0,74.2,75.8,74.5,73.5,75.5,,,,,,,,,,,,,,,,75.3,74.1,76.5,873,520,485,555,542,495,588,,,,,,,,,,,,,,,,506,449,563,29,48,32,69,,,,,,,,,,,,,,,,,,,,,,23,5,3,7,,,,,,,,,,,,,,,,,,,,,,13,11,14,16,14,19,13,11,15,73,181,5740,12,2618,6,14,9,5,15,,,,,,,,,,,,,,,,,,,,,,34,33,35,7738,27,24,30,1704,12,9,15,53,1884:1,555,95,15,8,22,2.5,,,,2.4,2.9,2.8,,,,2.8,3.2,0.05,12373,-3246,36911,57264,0.64,0.57,0.72,59817,51714,67920,130625,34535,226715,98813,78822,118804,36290,10068,62512,60726,51492,69960,81483,63033,99933,66,58,31,11,3,6,4,10,,,,,,,,,,,,,,,,,,,,,,50,20,15,26,20,18,12,26,,,,,,,,,,,,,,,,21,12,33,41,16,12,22,14,9,21,,,,,,,,,,,,,,,,21,12,33,61,17,13,22,15,11,22,,,,,,,,,,,,,,,,23,15,33,51,16,5600,12,53.2,44.1,28,11957,75,71,79,1252,8,6,11,85,13456,81,88,50864,26.8,14.8,504,1.0,771,1.5,411,0.8,92,0.2,33948,66.7,15542,30.6,2718,6,4,8,49.9,34998,71.5
48015,Texas,Austin,77.4,76.3,78.4,80.9,77.4,84.3,,,,,,,68.4,64.0,72.8,,,,,,,77.9,76.6,79.3,446,385,347,424,359,281,453,,,,,,,789,604,1014,,,,,,,351,305,397,17,54,32,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,13,17,15,20,11,9,13,59,232,3570,12,637,2,,,,,,,,,,,,,,,,,,,,,,,,,,35,34,36,4136,24,22,27,1186,16,13,20,61,1637:1,446,96,,,,2.8,,,2.1,2.6,3.1,2.8,,,2.1,2.5,3.1,0.04,11221,-4347,43829,59864,0.73,0.57,0.89,68630,59720,77540,,,,,,,38031,25818,50244,71304,62247,80361,81618,72128,91108,54,28,28,11,7,5,3,9,,,,,,,,,,,,,,,,,,,,,,30,21,14,30,20,,,,,,,,,,,,,,,,,,,,,,34,23,16,32,,,,,,,,,,,,,,,,,,,,,,42,20,14,27,,,,,,,,,,,,,,,,,,,,,,25,7,2900,11,69.0,56.8,42,9490,80,77,82,1266,11,8,14,81,9596,79,82,31097,23.5,21.1,2658,8.5,322,1.0,310,1.0,15,0.0,8992,28.9,18645,60.0,995,3,2,5,49.7,23782,78.8
