,,,Life Expectancy,,,,,,,,,,,,,,,,,,,,,,,,Premature Age-Adjusted Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Child Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Infant Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Frequent Physical Distress,,,Frequent Mental Distress,,,Diabetes Prevalence,,,HIV Prevalence,,Food Insecurity,,Limited Access to Healthy Foods,,Drug Overdose Deaths,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient Sleep,,,Uninsured Adults,,,,Uninsured Children,,,,Other Primary Care Providers,,High School Graduation,,Disconnected Youth,,,Reading Scores,,,,,,Math Scores,,,,,,School Segregation,School Funding Adequacy,,Gender Pay Gap,,,,,Median Household Income,,,,,,,,,,,,,,,,,,Children Eligible for Free or Reduced Price Lunch,Residential Segregation - Black/White,Child Care Cost Burden,Child Care Centers,,Homicides,,,,,,,,,,,,,,,,,,,,,,,,Suicides,,,,,,,,,,,,,,,,,,,,,,,,,,Firearm Fatalities,,,,,,,,,,,,,,,,,,,,,,,,,Motor Vehicle Crash Deaths,,,,,,,,,,,,,,,,,,,,,,,,,Juvenile Arrests,,,,Voter Turnout,Census Participation,Traffic Volume,Homeownership,,,,Severe Housing Cost Burden,,,,Broadband Access,,,,Population,% Below 18 Years of Age,% 65 and Older,% Non-Hispanic Black,,% American Indian or Alaska Native,,% Asian,,% Native Hawaiian or Other Pacific Islander,,% Hispanic,,% Non-Hispanic White,,% Not Proficient in English,,,,% Female,% Rural,
FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Hispanic (all races)),Life Expectancy (Hispanic (all races)) 95% CI - Low,Life Expectancy (Hispanic (all races)) 95% CI - High,Life Expectancy (Non-Hispanic AIAN),Life Expectancy (Non-Hispanic AIAN) 95% CI - Low,Life Expectancy (Non-Hispanic AIAN) 95% CI - High,Life Expectancy (Non-Hispanic Asian),Life Expectancy (Non-Hispanic Asian) 95% CI - Low,Life Expectancy (Non-Hispanic Asian) 95% CI - High,Life Expectancy (Non-Hispanic Black),Life Expectancy (Non-Hispanic Black) 95% CI - Low,Life Expectancy (Non-Hispanic Black) 95% CI - High,Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander),Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Life Expectancy (Non-Hispanic 2+ races),Life Expectancy (Non-Hispanic 2+ races) 95% CI - Low,Life Expectancy (Non-Hispanic 2+ races) 95% CI - High,Life Expectancy (Non-Hispanic White),Life Expectancy (Non-Hispanic White) 95% CI - Low,Life Expectancy (Non-Hispanic White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Hispanic (all races)),Age-Adjusted Mortality (Hispanic (all races)) 95% CI - Low,Age-Adjusted Mortality (Hispanic (all races)) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic AIAN),Age-Adjusted Mortality (Non-Hispanic AIAN) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic AIAN) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Asian),Age-Adjusted Mortality (Non-Hispanic Asian) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Asian) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Black),Age-Adjusted Mortality (Non-Hispanic Black) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Black) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander),Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic 2+ races),Age-Adjusted Mortality (Non-Hispanic 2+ races) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic 2+ races) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic White),Age-Adjusted Mortality (Non-Hispanic White) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic White) 95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Hispanic (all races)),Child Mortality Rate (Hispanic (all races)) 95% CI - Low,Child Mortality Rate (Hispanic (all races)) 95% CI - High,Child Mortality Rate (Non-Hispanic AIAN),Child Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Child Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Child Mortality Rate (Non-Hispanic Asian),Child Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Child Mortality Rate (Non-Hispanic Asian) 95% CI - High,Child Mortality Rate (Non-Hispanic Black),Child Mortality Rate (Non-Hispanic Black) 95% CI - Low,Child Mortality Rate (Non-Hispanic Black) 95% CI - High,Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Child Mortality Rate (Non-Hispanic 2+ races),Child Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Child Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Child Mortality Rate (Non-Hispanic White),Child Mortality Rate (Non-Hispanic White) 95% CI - Low,Child Mortality Rate (Non-Hispanic White) 95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Hispanic (all races)),Infant Mortality Rate (Hispanic (all races)) 95% CI - Low,Infant Mortality Rate (Hispanic (all races)) 95% CI - High,Infant Mortality Rate (Non-Hispanic AIAN),Infant Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Infant Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Infant Mortality Rate (Non-Hispanic Asian),Infant Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Asian) 95% CI - High,Infant Mortality Rate (Non-Hispanic Black),Infant Mortality Rate (Non-Hispanic Black) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Black) 95% CI - High,Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Infant Mortality Rate (Non-Hispanic 2+ races),Infant Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Infant Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Infant Mortality Rate (Non-Hispanic White),Infant Mortality Rate (Non-Hispanic White) 95% CI - Low,Infant Mortality Rate (Non-Hispanic White) 95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Adults with Diabetes,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access to Healthy Foods,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low,95% CI - High,Drug Overdose Mortality Rate (Hispanic (all races)),Drug Overdose Mortality Rate (Hispanic (all races)) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic (all races)) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic AIAN),Drug Overdose Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Asian),Drug Overdose Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Asian) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Black),Drug Overdose Mortality Rate (Non-Hispanic Black) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Black) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic 2+ races),Drug Overdose Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic White),Drug Overdose Mortality Rate (Non-Hispanic White) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic White) 95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured Adults,% Uninsured Adults,95% CI - Low,95% CI - High,# Uninsured Children,% Uninsured Children,95% CI - Low,95% CI - High,Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low,95% CI - High,Average Grade Performance,Average Grade Performance (AIAN),Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (White),Average Grade Performance,Average Grade Performance (AIAN),Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (White),Segregation Index,Spending per Pupil,School Funding Adequacy,Women's Median Earnings,Men's Median Earnings,Gender Pay Gap,95% CI - Low,95% CI - High,Median Household Income,95% CI - Low,95% CI - High,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation Index,% Household Income Required for Child Care Expenses,# Child Care Centers,"Child Care Centers per 1,000 Children",Homicide Rate,95% CI - Low,95% CI - High,Homicide Rate (Hispanic (all races)),Homicide Rate (Hispanic (all races)) 95% CI - Low,Homicide Rate (Hispanic (all races)) 95% CI - High,Homicide Rate (Non-Hispanic AIAN),Homicide Rate (Non-Hispanic AIAN) 95% CI - Low,Homicide Rate (Non-Hispanic AIAN) 95% CI - High,Homicide Rate (Non-Hispanic Asian),Homicide Rate (Non-Hispanic Asian) 95% CI - Low,Homicide Rate (Non-Hispanic Asian) 95% CI - High,Homicide Rate (Non-Hispanic Black),Homicide Rate (Non-Hispanic Black) 95% CI - Low,Homicide Rate (Non-Hispanic Black) 95% CI - High,Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Homicide Rate (Non-Hispanic 2+ races),Homicide Rate (Non-Hispanic 2+ races) 95% CI - Low,Homicide Rate (Non-Hispanic 2+ races) 95% CI - High,Homicide Rate (Non-Hispanic White),Homicide Rate (Non-Hispanic White) 95% CI - Low,Homicide Rate (Non-Hispanic White) 95% CI - High,# Deaths,Suicide Rate (Age-Adjusted),95% CI - Low,95% CI - High,Crude Rate,Suicide Rate (Hispanic (all races)),Suicide Rate (Hispanic (all races)) 95% CI - Low,Suicide Rate (Hispanic (all races)) 95% CI - High,Suicide Rate (Non-Hispanic AIAN),Suicide Rate (Non-Hispanic AIAN) 95% CI - Low,Suicide Rate (Non-Hispanic AIAN) 95% CI - High,Suicide Rate (Non-Hispanic Asian),Suicide Rate (Non-Hispanic Asian) 95% CI - Low,Suicide Rate (Non-Hispanic Asian) 95% CI - High,Suicide Rate (Non-Hispanic Black),Suicide Rate (Non-Hispanic Black) 95% CI - Low,Suicide Rate (Non-Hispanic Black) 95% CI - High,Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Suicide Rate (Non-Hispanic 2+ races),Suicide Rate (Non-Hispanic 2+ races) 95% CI - Low,Suicide Rate (Non-Hispanic 2+ races) 95% CI - High,Suicide Rate (Non-Hispanic White),Suicide Rate (Non-Hispanic White) 95% CI - Low,Suicide Rate (Non-Hispanic White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Firearm Fatalities Rate (Hispanic (all races)),Firearm Fatalities Rate (Hispanic (all races)) 95% CI - Low,Firearm Fatalities Rate (Hispanic (all races)) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic AIAN),Firearm Fatalities Rate (Non-Hispanic AIAN) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic AIAN) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Asian),Firearm Fatalities Rate (Non-Hispanic Asian) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Asian) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Black),Firearm Fatalities Rate (Non-Hispanic Black) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Black) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic 2+ races),Firearm Fatalities Rate (Non-Hispanic 2+ races) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic 2+ races) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic White),Firearm Fatalities Rate (Non-Hispanic White) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low,95% CI - High,MV Mortality Rate (Hispanic (all races)),MV Mortality Rate (Hispanic (all races)) 95% CI - Low,MV Mortality Rate (Hispanic (all races)) 95% CI - High,MV Mortality Rate (Non-Hispanic AIAN),MV Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,MV Mortality Rate (Non-Hispanic AIAN) 95% CI - High,MV Mortality Rate (Non-Hispanic Asian),MV Mortality Rate (Non-Hispanic Asian) 95% CI - Low,MV Mortality Rate (Non-Hispanic Asian) 95% CI - High,MV Mortality Rate (Non-Hispanic Black),MV Mortality Rate (Non-Hispanic Black) 95% CI - Low,MV Mortality Rate (Non-Hispanic Black) 95% CI - High,MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,MV Mortality Rate (Non-Hispanic 2+ races),MV Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,MV Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,MV Mortality Rate (Non-Hispanic White),MV Mortality Rate (Non-Hispanic White) 95% CI - Low,MV Mortality Rate (Non-Hispanic White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,% Voter Turnout,% Census Participation,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Households with Severe Cost Burden,95% CI - Low,95% CI - High,% Households with Broadband Access,# Households with Broadband Access,95% CI - Low,95% CI - High,Population,% Less than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian or Alaska Native,% American Indian or Alaska Native,# Asian,% Asian,# Native Hawaiian or Other Pacific Islander,% Native Hawaiian or Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural Residents,% Rural
53000,Washington,,79.4,79.3,79.5,,,,,,,,,,,,,,,,,,,,,,86805,319,317,321,,,,,,,,,,,,,,,,,,,,,,3154,43,41,44,,,,,,,,,,,,,,,,,,,,,,2662,4,4,5,,,,,,,,,,,,,,,,,,,,,,11,10,11,16,15,17,8,7,9,14591,223,688170,9,341332,5,5256,23,22,23,,,,,,,,,,,,,,,,,,,,,,30,29,31,437017,9,9,10,56380,3,3,4,115,873:1,,,7,7,8,3.0,,,,,,3.0,,,,,,0.18,15354,2801,59461,75589,0.79,0.78,0.80,91255,90270,92240,,,,,,,,,,,,,,,,43,60,32,,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,6247,16,15,16,16,,,,,,,,,,,,,,,,,,,,,,4260,11,11,12,,,,,,,,,,,,,,,,,,,,,,4436,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,76.5,,176,1900252,64,63,64,404353,14,14,14,92,2743870,92,92,7785786,21.1,16.8,323768,4.2,154178,2.0,814238,10.5,65973,0.8,1093313,14.0,5071894,65.1,257739,4,3,4,49.5,1281246,16.6
53001,Washington,Adams,78.1,76.7,79.5,78.5,76.5,80.4,,,,,,,,,,,,,,,,76.3,74.0,78.6,207,375,323,427,314,246,394,,,,,,,,,,,,,,,,468,376,561,13,42,22,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,17,18,16,21,13,11,15,13,85,2190,11,4350,23,,,,,,,,,,,,,,,,,,,,,,,,,,34,33,35,2492,23,20,27,442,6,4,8,110,911:1,,,,,,2.4,,,,2.3,3.2,2.7,,,,2.6,3.2,0.29,17865,750,36553,45371,0.81,0.66,0.95,62410,54560,70260,,,,,,,,,,59264,50204,68324,70700,59618,81782,77,,33,2,1,,,,,,,,,,,,,,,,,,,,,,,,,11,12,6,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,25,18,35,28,18,42,,,,,,,,,,,,,,,,22,10,40,49,26,3200,23,63.7,53.2,19,4092,65,60,70,603,10,6,14,85,5360,81,89,20961,34.8,11.7,155,0.7,1312,6.3,309,1.5,55,0.3,13698,65.3,6607,31.5,2693,14,11,18,49.3,9748,47.3
53003,Washington,Asotin,77.4,76.1,78.7,,,,,,,,,,,,,,,,,,,,,,388,419,373,465,,,,,,,,,,,,,,,,,,,,,,12,60,31,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,15,19,17,22,9,8,11,17,89,2230,10,998,5,15,22,12,36,,,,,,,,,,,,,,,,,,,,,,30,29,32,1301,11,9,12,146,3,2,4,62,1608:1,,,24,12,37,2.9,,,,,,2.9,,,,,,0.02,14387,3070,44613,64239,0.69,0.57,0.81,65625,60049,71201,,,,,,,8571,6570,10572,,,,66027,59943,72111,50,75,31,10,8,,,,,,,,,,,,,,,,,,,,,,,,,32,28,18,40,28,,,,,,,,,,,,,,,,,,,,,,24,21,14,32,,,,,,,,,,,,,,,,,,,,,,14,9,5,15,,,,,,,,,,,,,,,,,,,,,,46,6,2100,25,68.0,70.4,75,6859,72,69,75,1063,11,8,15,88,8336,85,90,22508,19.5,25.6,198,0.9,443,2.0,258,1.1,111,0.5,1122,5.0,19924,88.5,144,1,0,1,51.4,1618,7.3
53005,Washington,Benton,78.8,78.4,79.2,80.8,79.1,82.4,,,,85.6,83.2,88.0,80.1,72.4,87.8,,,,,,,78.4,77.9,78.8,2347,334,320,348,311,271,351,,,,175,124,240,457,321,629,,,,,,,345,329,362,99,42,34,51,41,28,57,,,,,,,,,,,,,,,,41,31,54,97,5,4,7,6,4,8,,,,,,,,,,,,,,,,5,4,7,11,9,13,16,14,19,9,7,10,191,112,18150,9,9158,5,114,18,15,22,10,6,17,,,,,,,,,,,,,,,,22,18,27,31,29,32,13438,11,10,12,1827,3,2,4,128,782:1,,,7,4,9,3.0,,3.3,,2.5,3.3,2.9,,3.3,,2.3,3.1,0.09,14909,-180,51413,71430,0.72,0.68,0.76,85144,78118,92170,50625,5239,96011,86825,78454,95196,72556,57994,87118,62680,56503,68857,90511,87537,93485,53,53,24,59,4,3,2,4,5,3,8,,,,,,,,,,,,,,,,2,1,4,171,17,14,20,17,6,3,10,,,,,,,,,,,,,,,,20,17,24,110,11,9,13,6,4,11,,,,,,,,,,,,,,,,12,10,15,129,9,8,11,11,8,15,,,,,,,,,,,,,,,,8,7,10,340,224,25000,23,76.2,73.6,96,51384,68,67,69,7215,10,9,11,90,68181,89,91,212791,25.8,16.1,2953,1.4,3184,1.5,7404,3.5,703,0.3,52956,24.9,142249,66.8,7971,4,4,5,49.5,25122,12.1
53007,Washington,Chelan,79.7,79.2,80.3,86.1,82.6,89.6,,,,,,,,,,,,,,,,79.0,78.3,79.7,874,292,271,313,197,156,246,,,,,,,,,,,,,,,,317,291,343,29,37,25,53,33,17,57,,,,,,,,,,,,,,,,39,22,64,24,4,3,6,,,,,,,,,,,,,,,,,,,,,,12,10,13,16,14,19,9,7,10,75,112,7750,10,3330,5,34,15,10,20,,,,,,,,,,,,,,,,,,,,,,27,26,28,6717,15,13,17,934,5,4,6,200,500:1,,,9,5,14,2.8,,,,2.4,3.2,2.7,,,,2.4,3.0,0.06,15502,-337,44026,58119,0.76,0.68,0.83,81697,76246,87148,124643,48389,200897,94250,57275,131225,,,,60530,56151,64909,76078,71434,80722,52,85,25,23,5,2,1,4,,,,,,,,,,,,,,,,,,,,,,67,17,13,22,17,,,,,,,,,,,,,,,,,,,,,,46,12,9,16,,,,,,,,,,,,,,,,,,,,,,41,8,5,10,7,4,13,,,,,,,,,,,,,,,,8,5,11,41,110,8300,18,82.0,56.4,94,19298,63,61,66,3235,11,9,13,88,26757,86,90,79926,22.4,21.1,411,0.5,1650,2.1,1106,1.4,240,0.3,23210,29.0,53355,66.8,5344,7,6,8,49.5,26592,33.6
53009,Washington,Clallam,77.9,77.2,78.6,88.7,79.9,97.4,69.5,66.0,72.9,,,,,,,,,,,,,77.8,77.1,78.6,1323,373,349,397,227,153,324,798,639,984,,,,,,,,,,,,,368,341,395,28,49,33,71,,,,,,,,,,,,,,,,,,,,,,22,5,3,8,,,,,,,,,,,,,,,,,,,,,,12,10,13,17,15,20,9,7,10,81,117,8630,11,8997,13,75,32,25,40,,,,,,,,,,,,,,,,,,,,,,31,30,33,4761,12,10,14,561,4,3,5,144,695:1,,,6,2,10,3.1,,,,3.0,3.2,3.1,,,,3.1,3.2,0.12,16633,3388,50278,59223,0.85,0.75,0.95,66693,61663,71723,52963,41386,64540,78990,30077,127903,,,,43523,37841,49205,67143,64126,70160,55,62,37,23,7,4,2,6,,,,,,,,,,,,,,,,,,,,,,111,26,20,31,29,,,,,,,,,,,,,,,,,,,,,,76,20,16,25,,,,,,,,,,,,,,,,,,,,,,69,13,10,16,,,,41,20,75,,,,,,,,,,,,,12,9,16,63,82,5900,25,79.4,69.9,31,24894,73,71,75,4320,13,11,15,90,30844,89,92,77805,16.2,32.3,702,0.9,4499,5.8,1602,2.1,165,0.2,5898,7.6,63255,81.3,492,1,0,1,50.7,27846,36.1
53011,Washington,Clark,78.8,78.6,79.1,82.8,81.0,84.6,83.6,79.3,87.9,87.1,85.3,88.9,74.4,72.0,76.7,72.0,67.9,76.1,,,,78.5,78.3,78.8,5672,314,306,323,252,219,284,234,158,334,164,137,192,524,445,603,689,538,869,,,,323,313,332,223,44,38,50,38,27,54,,,,,,,130,73,214,,,,,,,43,36,49,170,4,4,5,6,4,8,,,,,,,,,,,,,,,,4,3,5,11,9,12,17,14,19,8,7,9,840,196,41880,8,15368,4,295,20,17,22,14,9,21,,,,,,,,,,,,,,,,22,19,24,32,31,34,30518,10,9,11,3655,3,2,4,77,1298:1,,,8,6,10,3.0,,,,2.5,3.1,2.9,,3.2,,2.4,3.0,0.06,14089,4321,56365,72194,0.78,0.75,0.81,91149,87448,94850,96250,80764,111736,111662,107610,115714,54471,43867,65075,70191,66140,74242,92048,89896,94200,42,51,27,108,4,3,2,4,4,2,7,,,,,,,28,17,43,,,,,,,2,2,3,440,18,16,19,18,9,6,14,,,,9,4,16,20,10,36,,,,,,,19,17,21,269,11,10,12,7,4,11,,,,,,,40,25,61,,,,,,,11,10,13,275,8,7,9,9,6,13,,,,,,,,,,,,,,,,8,7,9,298,184,54400,9,79.3,74.8,151,126024,67,66,68,23433,13,12,13,93,176036,93,94,516779,22.3,16.9,12069,2.3,6557,1.3,29059,5.6,5552,1.1,58947,11.4,387713,75.0,13488,3,,,50.3,67852,13.5
53013,Washington,Columbia,76.1,73.1,79.1,,,,,,,,,,,,,,,,,,,,,,80,464,352,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,13,17,15,20,9,7,10,,,390,10,580,14,,,,,,,,,,,,,,,,,,,,,,,,,,28,27,30,229,11,9,12,32,4,3,6,224,447:1,,,,,,3.2,,,,,,3.3,,,,,,0.04,15600,2601,39539,59847,0.66,0.44,0.88,62935,53587,72283,,,,,,,,,,,,,,,,52,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,13,300,63,78.3,58.2,19,1354,75,70,80,180,10,5,16,76,1366,68,83,4026,17.3,29.1,34,0.8,77,1.9,74,1.8,81,2.0,333,8.3,3336,82.9,23,1,0,2,50.4,3952,100.0
53015,Washington,Cowlitz,75.7,75.2,76.2,81.9,76.4,87.3,,,,81.6,74.2,89.0,,,,,,,,,,75.5,74.9,76.0,2047,472,451,494,384,300,485,,,,,,,,,,,,,,,,482,458,506,45,41,30,55,,,,,,,,,,,,,,,,,,,,,,51,6,4,8,,,,,,,,,,,,,,,,,,,,,,13,11,15,18,16,21,9,8,10,155,165,12760,12,9085,9,78,23,18,29,,,,,,,,,,,,,,,,,,,,,,37,36,39,6610,10,9,12,858,3,2,4,96,1037:1,,,15,10,21,2.6,,,,2.4,2.7,2.5,,,,2.2,2.6,0.03,13870,1846,46798,67865,0.69,0.63,0.75,71847,65132,78562,56270,44512,68028,89145,63838,114452,61523,35964,87082,55831,48779,62883,71540,68119,74961,55,61,35,31,5,3,2,5,,,,,,,,,,,,,,,,,,,,,,118,21,17,25,21,,,,,,,,,,,,,,,,,,,,,,86,16,13,19,,,,,,,,,,,,,,,,,,,,,,76,10,8,13,16,8,28,,,,,,,,,,,,,,,,10,7,12,69,150,11300,19,73.7,70.1,91,28664,66,64,69,5573,13,12,15,88,38128,87,90,111956,22.2,19.8,1077,1.0,2479,2.2,1961,1.8,608,0.5,11610,10.4,91333,81.6,1338,1,1,2,50.0,36515,33.0
