FIPS,geo_id,county_name,state_name,med_re_ taxes_tot
01001,0500000US01001,Autauga County, Alabama,531
01003,0500000US01003,Baldwin County, Alabama,796
01005,0500000US01005,Barbour County, Alabama,398
01007,0500000US01007,Bibb County, Alabama,286
01009,0500000US01009,Blount County, Alabama,464
01011,0500000US01011,Bullock County, Alabama,394
01013,0500000US01013,Butler County, Alabama,315
01015,0500000US01015,Calhoun County, Alabama,592
01017,0500000US01017,Chambers County, Alabama,439
01019,0500000US01019,Cherokee County, Alabama,599
01021,0500000US01021,Chilton County, Alabama,458
01023,0500000US01023,Choctaw County, Alabama,222
01025,0500000US01025,Clarke County, Alabama,382
01027,0500000US01027,Clay County, Alabama,343
01029,0500000US01029,Cleburne County, Alabama,399
01031,0500000US01031,Coffee County, Alabama,575
01033,0500000US01033,Colbert County, Alabama,582
01035,0500000US01035,Conecuh County, Alabama,293
01037,0500000US01037,Coosa County, Alabama,278
01039,0500000US01039,Covington County, Alabama,329
01041,0500000US01041,Crenshaw County, Alabama,331
01043,0500000US01043,Cullman County, Alabama,414
01045,0500000US01045,Dale County, Alabama,408
01047,0500000US01047,Dallas County, Alabama,384
01049,0500000US01049,DeKalb County, Alabama,444
01051,0500000US01051,Elmore County, Alabama,535
01053,0500000US01053,Escambia County, Alabama,460
01055,0500000US01055,Etowah County, Alabama,551
01057,0500000US01057,Fayette County, Alabama,322
01059,0500000US01059,Franklin County, Alabama,396
01061,0500000US01061,Geneva County, Alabama,366
01063,0500000US01063,Greene County, Alabama,297
01065,0500000US01065,Hale County, Alabama,353
01067,0500000US01067,Henry County, Alabama,466
01069,0500000US01069,Houston County, Alabama,512
01071,0500000US01071,Jackson County, Alabama,441
01073,0500000US01073,Jefferson County, Alabama,1282
01075,0500000US01075,Lamar County, Alabama,256
01077,0500000US01077,Lauderdale County, Alabama,692
01079,0500000US01079,Lawrence County, Alabama,442
01081,0500000US01081,Lee County, Alabama,1106
01083,0500000US01083,Limestone County, Alabama,734
01085,0500000US01085,Lowndes County, Alabama,294
01087,0500000US01087,Macon County, Alabama,430
01089,0500000US01089,Madison County, Alabama,990
01091,0500000US01091,Marengo County, Alabama,398
01093,0500000US01093,Marion County, Alabama,303
01095,0500000US01095,Marshall County, Alabama,656
01097,0500000US01097,Mobile County, Alabama,831
01099,0500000US01099,Monroe County, Alabama,344
01101,0500000US01101,Montgomery County, Alabama,570
01103,0500000US01103,Morgan County, Alabama,633
01105,0500000US01105,Perry County, Alabama,267
01107,0500000US01107,Pickens County, Alabama,372
01109,0500000US01109,Pike County, Alabama,422
01111,0500000US01111,Randolph County, Alabama,428
01113,0500000US01113,Russell County, Alabama,619
01115,0500000US01115,St. Clair County, Alabama,603
01117,0500000US01117,Shelby County, Alabama,1279
01119,0500000US01119,Sumter County, Alabama,275
01121,0500000US01121,Talladega County, Alabama,504
01123,0500000US01123,Tallapoosa County, Alabama,435
01125,0500000US01125,Tuscaloosa County, Alabama,722
01127,0500000US01127,Walker County, Alabama,333
01129,0500000US01129,Washington County, Alabama,329
01131,0500000US01131,Wilcox County, Alabama,267
01133,0500000US01133,Winston County, Alabama,352
08001,0500000US08001,Adams County, Colorado,2581
08003,0500000US08003,Alamosa County, Colorado,944
08005,0500000US08005,Arapahoe County, Colorado,2623
08007,0500000US08007,Archuleta County, Colorado,1454
08009,0500000US08009,Baca County, Colorado,514
08011,0500000US08011,Bent County, Colorado,520
08013,0500000US08013,Boulder County, Colorado,3559
08014,0500000US08014,Broomfield County, Colorado,3602
08015,0500000US08015,Chaffee County, Colorado,1580
08017,0500000US08017,Cheyenne County, Colorado,743
08019,0500000US08019,Clear Creek County, Colorado,1952
08021,0500000US08021,Conejos County, Colorado,645
08023,0500000US08023,Costilla County, Colorado,501
08025,0500000US08025,Crowley County, Colorado,484
08027,0500000US08027,Custer County, Colorado,1196
08029,0500000US08029,Delta County, Colorado,923
08031,0500000US08031,Denver County, Colorado,2447
08033,0500000US08033,Dolores County, Colorado,466
08035,0500000US08035,Douglas County, Colorado,3490
08037,0500000US08037,Eagle County, Colorado,2908
08039,0500000US08039,Elbert County, Colorado,2769
08041,0500000US08041,El Paso County, Colorado,1629
08043,0500000US08043,Fremont County, Colorado,984
08045,0500000US08045,Garfield County, Colorado,1961
08047,0500000US08047,Gilpin County, Colorado,1238
08049,0500000US08049,Grand County, Colorado,1623
08051,0500000US08051,Gunnison County, Colorado,1639
08053,0500000US08053,Hinsdale County, Colorado,1268
08055,0500000US08055,Huerfano County, Colorado,677
08057,0500000US08057,Jackson County, Colorado,477
08059,0500000US08059,Jefferson County, Colorado,2708
08061,0500000US08061,Kiowa County, Colorado,821
08063,0500000US08063,Kit Carson County, Colorado,978
08065,0500000US08065,Lake County, Colorado,1550
08067,0500000US08067,La Plata County, Colorado,1362
08069,0500000US08069,Larimer County, Colorado,2527
08071,0500000US08071,Las Animas County, Colorado,510
08073,0500000US08073,Lincoln County, Colorado,768
08075,0500000US08075,Logan County, Colorado,989
08077,0500000US08077,Mesa County, Colorado,1262
08079,0500000US08079,Mineral County, Colorado,1443
08081,0500000US08081,Moffat County, Colorado,1069
08083,0500000US08083,Montezuma County, Colorado,932
08085,0500000US08085,Montrose County, Colorado,1189
08087,0500000US08087,Morgan County, Colorado,1425
08089,0500000US08089,Otero County, Colorado,491
08091,0500000US08091,Ouray County, Colorado,1586
08093,0500000US08093,Park County, Colorado,1558
08095,0500000US08095,Phillips County, Colorado,1259
08097,0500000US08097,Pitkin County, Colorado,4030
08099,0500000US08099,Prowers County, Colorado,435
08101,0500000US08101,Pueblo County, Colorado,1284
08103,0500000US08103,Rio Blanco County, Colorado,810
08105,0500000US08105,Rio Grande County, Colorado,830
08107,0500000US08107,Routt County, Colorado,2292
08109,0500000US08109,Saguache County, Colorado,733
08111,0500000US08111,San Juan County, Colorado,800
08113,0500000US08113,San Miguel County, Colorado,1410
08115,0500000US08115,Sedgwick County, Colorado,591
08117,0500000US08117,Summit County, Colorado,2395
08119,0500000US08119,Teller County, Colorado,1467
08121,0500000US08121,Washington County, Colorado,924
08123,0500000US08123,Weld County, Colorado,1995
08125,0500000US08125,Yuma County, Colorado,956
27001,0500000US27001,Aitkin County, Minnesota,1287
27003,0500000US27003,Anoka County, Minnesota,2937
27005,0500000US27005,Becker County, Minnesota,1851
27007,0500000US27007,Beltrami County, Minnesota,2091
27009,0500000US27009,Benton County, Minnesota,2446
27011,0500000US27011,Big Stone County, Minnesota,1006
27013,0500000US27013,Blue Earth County, Minnesota,2366
27015,0500000US27015,Brown County, Minnesota,1791
27017,0500000US27017,Carlton County, Minnesota,2595
27019,0500000US27019,Carver County, Minnesota,4170
27021,0500000US27021,Cass County, Minnesota,1444
27023,0500000US27023,Chippewa County, Minnesota,1403
27025,0500000US27025,Chisago County, Minnesota,3482
27027,0500000US27027,Clay County, Minnesota,2720
27029,0500000US27029,Clearwater County, Minnesota,1269
27031,0500000US27031,Cook County, Minnesota,2355
27033,0500000US27033,Cottonwood County, Minnesota,1586
27035,0500000US27035,Crow Wing County, Minnesota,1921
27037,0500000US27037,Dakota County, Minnesota,3439
27039,0500000US27039,Dodge County, Minnesota,2705
27041,0500000US27041,Douglas County, Minnesota,2380
27043,0500000US27043,Faribault County, Minnesota,1181
27045,0500000US27045,Fillmore County, Minnesota,1813
27047,0500000US27047,Freeborn County, Minnesota,1649
27049,0500000US27049,Goodhue County, Minnesota,2728
27051,0500000US27051,Grant County, Minnesota,1587
27053,0500000US27053,Hennepin County, Minnesota,4142
27055,0500000US27055,Houston County, Minnesota,2486
27057,0500000US27057,Hubbard County, Minnesota,1962
27059,0500000US27059,Isanti County, Minnesota,2806
27061,0500000US27061,Itasca County, Minnesota,1692
27063,0500000US27063,Jackson County, Minnesota,1289
27065,0500000US27065,Kanabec County, Minnesota,2296
27067,0500000US27067,Kandiyohi County, Minnesota,2120
27069,0500000US27069,Kittson County, Minnesota,1158
27071,0500000US27071,Koochiching County, Minnesota,1004
27073,0500000US27073,Lac qui Parle County, Minnesota,1241
27075,0500000US27075,Lake County, Minnesota,1590
27077,0500000US27077,Lake of the Woods County, Minnesota,1399
27079,0500000US27079,Le Sueur County, Minnesota,2876
27081,0500000US27081,Lincoln County, Minnesota,1431
27083,0500000US27083,Lyon County, Minnesota,1806
27085,0500000US27085,McLeod County, Minnesota,2551
27087,0500000US27087,Mahnomen County, Minnesota,1396
27089,0500000US27089,Marshall County, Minnesota,1205
27091,0500000US27091,Martin County, Minnesota,1423
27093,0500000US27093,Meeker County, Minnesota,1994
27095,0500000US27095,Mille Lacs County, Minnesota,2340
27097,0500000US27097,Morrison County, Minnesota,1983
27099,0500000US27099,Mower County, Minnesota,1634
27101,0500000US27101,Murray County, Minnesota,1232
27103,0500000US27103,Nicollet County, Minnesota,2706
27105,0500000US27105,Nobles County, Minnesota,1589
27107,0500000US27107,Norman County, Minnesota,1309
27109,0500000US27109,Olmsted County, Minnesota,3110
27111,0500000US27111,Otter Tail County, Minnesota,1875
27113,0500000US27113,Pennington County, Minnesota,2166
27115,0500000US27115,Pine County, Minnesota,1878
27117,0500000US27117,Pipestone County, Minnesota,1110
27119,0500000US27119,Polk County, Minnesota,1967
27121,0500000US27121,Pope County, Minnesota,1830
27123,0500000US27123,Ramsey County, Minnesota,3578
27125,0500000US27125,Red Lake County, Minnesota,1413
27127,0500000US27127,Redwood County, Minnesota,1351
27129,0500000US27129,Renville County, Minnesota,1402
27131,0500000US27131,Rice County, Minnesota,2770
27133,0500000US27133,Rock County, Minnesota,1329
27135,0500000US27135,Roseau County, Minnesota,1640
27137,0500000US27137,St. Louis County, Minnesota,1982
27139,0500000US27139,Scott County, Minnesota,4039
27141,0500000US27141,Sherburne County, Minnesota,3161
27143,0500000US27143,Sibley County, Minnesota,2195
27145,0500000US27145,Stearns County, Minnesota,2470
27147,0500000US27147,Steele County, Minnesota,2685
27149,0500000US27149,Stevens County, Minnesota,1491
